rowi,coli,wells,TG,AR,IP,Final.nM
A,1,A1,A,AR-LgBitC,AR-SmBitC,
B,1,B1,A,AR-LgBitC,AR-SmBitC,
C,1,C1,A,AR-LgBitC,AR-SmBitC,
D,1,D1,A,AR-LgBitC,AR-SmBitC,
E,1,E1,A,AR-LgBitC,AR-SmBitC,0.1
F,1,F1,A,AR-LgBitC,AR-SmBitC,0.1
G,1,G1,A,AR-LgBitC,AR-SmBitC,0.1
H,1,H1,A,AR-LgBitC,AR-SmBitC,0.1
I,1,I1,A,AR-LgBitC,AR-SmBitC,1
J,1,J1,A,AR-LgBitC,AR-SmBitC,1
K,1,K1,A,AR-LgBitC,AR-SmBitC,1
L,1,L1,A,AR-LgBitC,AR-SmBitC,1
M,1,M1,A,AR-LgBitC,AR-SmBitC,10
N,1,N1,A,AR-LgBitC,AR-SmBitC,10
O,1,O1,A,AR-LgBitC,AR-SmBitC,10
P,1,P1,A,AR-LgBitC,AR-SmBitC,10
A,2,A2,A,AR-LgBitC,AR-SmBitC,
B,2,B2,A,AR-LgBitC,AR-SmBitC,
C,2,C2,A,AR-LgBitC,AR-SmBitC,
D,2,D2,A,AR-LgBitC,AR-SmBitC,
E,2,E2,A,AR-LgBitC,AR-SmBitC,0.1
F,2,F2,A,AR-LgBitC,AR-SmBitC,0.1
G,2,G2,A,AR-LgBitC,AR-SmBitC,0.1
H,2,H2,A,AR-LgBitC,AR-SmBitC,0.1
I,2,I2,A,AR-LgBitC,AR-SmBitC,1
J,2,J2,A,AR-LgBitC,AR-SmBitC,1
K,2,K2,A,AR-LgBitC,AR-SmBitC,1
L,2,L2,A,AR-LgBitC,AR-SmBitC,1
M,2,M2,A,AR-LgBitC,AR-SmBitC,10
N,2,N2,A,AR-LgBitC,AR-SmBitC,10
O,2,O2,A,AR-LgBitC,AR-SmBitC,10
P,2,P2,A,AR-LgBitC,AR-SmBitC,10
A,3,A3,B,AR-LgBitC,SmBitN-AR,
B,3,B3,B,AR-LgBitC,SmBitN-AR,
C,3,C3,B,AR-LgBitC,SmBitN-AR,
D,3,D3,B,AR-LgBitC,SmBitN-AR,
E,3,E3,B,AR-LgBitC,SmBitN-AR,0.1
F,3,F3,B,AR-LgBitC,SmBitN-AR,0.1
G,3,G3,B,AR-LgBitC,SmBitN-AR,0.1
H,3,H3,B,AR-LgBitC,SmBitN-AR,0.1
I,3,I3,B,AR-LgBitC,SmBitN-AR,1
J,3,J3,B,AR-LgBitC,SmBitN-AR,1
K,3,K3,B,AR-LgBitC,SmBitN-AR,1
L,3,L3,B,AR-LgBitC,SmBitN-AR,1
M,3,M3,B,AR-LgBitC,SmBitN-AR,10
N,3,N3,B,AR-LgBitC,SmBitN-AR,10
O,3,O3,B,AR-LgBitC,SmBitN-AR,10
P,3,P3,B,AR-LgBitC,SmBitN-AR,10
A,4,A4,B,AR-LgBitC,SmBitN-AR,
B,4,B4,B,AR-LgBitC,SmBitN-AR,
C,4,C4,B,AR-LgBitC,SmBitN-AR,
D,4,D4,B,AR-LgBitC,SmBitN-AR,
E,4,E4,B,AR-LgBitC,SmBitN-AR,0.1
F,4,F4,B,AR-LgBitC,SmBitN-AR,0.1
G,4,G4,B,AR-LgBitC,SmBitN-AR,0.1
H,4,H4,B,AR-LgBitC,SmBitN-AR,0.1
I,4,I4,B,AR-LgBitC,SmBitN-AR,1
J,4,J4,B,AR-LgBitC,SmBitN-AR,1
K,4,K4,B,AR-LgBitC,SmBitN-AR,1
L,4,L4,B,AR-LgBitC,SmBitN-AR,1
M,4,M4,B,AR-LgBitC,SmBitN-AR,10
N,4,N4,B,AR-LgBitC,SmBitN-AR,10
O,4,O4,B,AR-LgBitC,SmBitN-AR,10
P,4,P4,B,AR-LgBitC,SmBitN-AR,10
A,5,A5,E,AR-LgBitC,Src1-SmBitC,
B,5,B5,E,AR-LgBitC,Src1-SmBitC,
C,5,C5,E,AR-LgBitC,Src1-SmBitC,
D,5,D5,E,AR-LgBitC,Src1-SmBitC,
E,5,E5,E,AR-LgBitC,Src1-SmBitC,0.1
F,5,F5,E,AR-LgBitC,Src1-SmBitC,0.1
G,5,G5,E,AR-LgBitC,Src1-SmBitC,0.1
H,5,H5,E,AR-LgBitC,Src1-SmBitC,0.1
I,5,I5,E,AR-LgBitC,Src1-SmBitC,1
J,5,J5,E,AR-LgBitC,Src1-SmBitC,1
K,5,K5,E,AR-LgBitC,Src1-SmBitC,1
L,5,L5,E,AR-LgBitC,Src1-SmBitC,1
M,5,M5,E,AR-LgBitC,Src1-SmBitC,10
N,5,N5,E,AR-LgBitC,Src1-SmBitC,10
O,5,O5,E,AR-LgBitC,Src1-SmBitC,10
P,5,P5,E,AR-LgBitC,Src1-SmBitC,10
A,6,A6,E,AR-LgBitC,Src1-SmBitC,
B,6,B6,E,AR-LgBitC,Src1-SmBitC,
C,6,C6,E,AR-LgBitC,Src1-SmBitC,
D,6,D6,E,AR-LgBitC,Src1-SmBitC,
E,6,E6,E,AR-LgBitC,Src1-SmBitC,0.1
F,6,F6,E,AR-LgBitC,Src1-SmBitC,0.1
G,6,G6,E,AR-LgBitC,Src1-SmBitC,0.1
H,6,H6,E,AR-LgBitC,Src1-SmBitC,0.1
I,6,I6,E,AR-LgBitC,Src1-SmBitC,1
J,6,J6,E,AR-LgBitC,Src1-SmBitC,1
K,6,K6,E,AR-LgBitC,Src1-SmBitC,1
L,6,L6,E,AR-LgBitC,Src1-SmBitC,1
M,6,M6,E,AR-LgBitC,Src1-SmBitC,10
N,6,N6,E,AR-LgBitC,Src1-SmBitC,10
O,6,O6,E,AR-LgBitC,Src1-SmBitC,10
P,6,P6,E,AR-LgBitC,Src1-SmBitC,10
A,7,A7,F,AR-LgBitC,SmBitN-Src1,
B,7,B7,F,AR-LgBitC,SmBitN-Src1,
C,7,C7,F,AR-LgBitC,SmBitN-Src1,
D,7,D7,F,AR-LgBitC,SmBitN-Src1,
E,7,E7,F,AR-LgBitC,SmBitN-Src1,0.1
F,7,F7,F,AR-LgBitC,SmBitN-Src1,0.1
G,7,G7,F,AR-LgBitC,SmBitN-Src1,0.1
H,7,H7,F,AR-LgBitC,SmBitN-Src1,0.1
I,7,I7,F,AR-LgBitC,SmBitN-Src1,1
J,7,J7,F,AR-LgBitC,SmBitN-Src1,1
K,7,K7,F,AR-LgBitC,SmBitN-Src1,1
L,7,L7,F,AR-LgBitC,SmBitN-Src1,1
M,7,M7,F,AR-LgBitC,SmBitN-Src1,10
N,7,N7,F,AR-LgBitC,SmBitN-Src1,10
O,7,O7,F,AR-LgBitC,SmBitN-Src1,10
P,7,P7,F,AR-LgBitC,SmBitN-Src1,
A,8,A8,F,AR-LgBitC,SmBitN-Src1,
B,8,B8,F,AR-LgBitC,SmBitN-Src1,
C,8,C8,F,AR-LgBitC,SmBitN-Src1,
D,8,D8,F,AR-LgBitC,SmBitN-Src1,
E,8,E8,F,AR-LgBitC,SmBitN-Src1,0.1
F,8,F8,F,AR-LgBitC,SmBitN-Src1,0.1
G,8,G8,F,AR-LgBitC,SmBitN-Src1,0.1
H,8,H8,F,AR-LgBitC,SmBitN-Src1,0.1
I,8,I8,F,AR-LgBitC,SmBitN-Src1,1
J,8,J8,F,AR-LgBitC,SmBitN-Src1,1
K,8,K8,F,AR-LgBitC,SmBitN-Src1,1
L,8,L8,F,AR-LgBitC,SmBitN-Src1,1
M,8,M8,F,AR-LgBitC,SmBitN-Src1,10
N,8,N8,F,AR-LgBitC,SmBitN-Src1,10
O,8,O8,F,AR-LgBitC,SmBitN-Src1,10
P,8,P8,F,AR-LgBitC,SmBitN-Src1,10
A,9,A9,C,LgBitN-AR,AR-SmBitC,
B,9,B9,C,LgBitN-AR,AR-SmBitC,
C,9,C9,C,LgBitN-AR,AR-SmBitC,
D,9,D9,C,LgBitN-AR,AR-SmBitC,
E,9,E9,C,LgBitN-AR,AR-SmBitC,0.1
F,9,F9,C,LgBitN-AR,AR-SmBitC,0.1
G,9,G9,C,LgBitN-AR,AR-SmBitC,0.1
H,9,H9,C,LgBitN-AR,AR-SmBitC,0.1
I,9,I9,C,LgBitN-AR,AR-SmBitC,1
J,9,J9,C,LgBitN-AR,AR-SmBitC,1
K,9,K9,C,LgBitN-AR,AR-SmBitC,1
L,9,L9,C,LgBitN-AR,AR-SmBitC,1
M,9,M9,C,LgBitN-AR,AR-SmBitC,10
N,9,N9,C,LgBitN-AR,AR-SmBitC,10
O,9,O9,C,LgBitN-AR,AR-SmBitC,10
P,9,P9,C,LgBitN-AR,AR-SmBitC,10
A,10,A10,C,LgBitN-AR,AR-SmBitC,
B,10,B10,C,LgBitN-AR,AR-SmBitC,
C,10,C10,C,LgBitN-AR,AR-SmBitC,
D,10,D10,C,LgBitN-AR,AR-SmBitC,
E,10,E10,C,LgBitN-AR,AR-SmBitC,0.1
F,10,F10,C,LgBitN-AR,AR-SmBitC,0.1
G,10,G10,C,LgBitN-AR,AR-SmBitC,0.1
H,10,H10,C,LgBitN-AR,AR-SmBitC,0.1
I,10,I10,C,LgBitN-AR,AR-SmBitC,1
J,10,J10,C,LgBitN-AR,AR-SmBitC,1
K,10,K10,C,LgBitN-AR,AR-SmBitC,1
L,10,L10,C,LgBitN-AR,AR-SmBitC,1
M,10,M10,C,LgBitN-AR,AR-SmBitC,10
N,10,N10,C,LgBitN-AR,AR-SmBitC,10
O,10,O10,C,LgBitN-AR,AR-SmBitC,10
P,10,P10,C,LgBitN-AR,AR-SmBitC,10
A,11,A11,D,LgBitN-AR,SmBitN-AR,
B,11,B11,D,LgBitN-AR,SmBitN-AR,
C,11,C11,D,LgBitN-AR,SmBitN-AR,
D,11,D11,D,LgBitN-AR,SmBitN-AR,
E,11,E11,D,LgBitN-AR,SmBitN-AR,0.1
F,11,F11,D,LgBitN-AR,SmBitN-AR,0.1
G,11,G11,D,LgBitN-AR,SmBitN-AR,0.1
H,11,H11,D,LgBitN-AR,SmBitN-AR,0.1
I,11,I11,D,LgBitN-AR,SmBitN-AR,1
J,11,J11,D,LgBitN-AR,SmBitN-AR,1
K,11,K11,D,LgBitN-AR,SmBitN-AR,1
L,11,L11,D,LgBitN-AR,SmBitN-AR,1
M,11,M11,D,LgBitN-AR,SmBitN-AR,10
N,11,N11,D,LgBitN-AR,SmBitN-AR,10
O,11,O11,D,LgBitN-AR,SmBitN-AR,10
P,11,P11,D,LgBitN-AR,SmBitN-AR,10
A,12,A12,D,LgBitN-AR,SmBitN-AR,
B,12,B12,D,LgBitN-AR,SmBitN-AR,
C,12,C12,D,LgBitN-AR,SmBitN-AR,
D,12,D12,D,LgBitN-AR,SmBitN-AR,
E,12,E12,D,LgBitN-AR,SmBitN-AR,0.1
F,12,F12,D,LgBitN-AR,SmBitN-AR,0.1
G,12,G12,D,LgBitN-AR,SmBitN-AR,0.1
H,12,H12,D,LgBitN-AR,SmBitN-AR,0.1
I,12,I12,D,LgBitN-AR,SmBitN-AR,1
J,12,J12,D,LgBitN-AR,SmBitN-AR,1
K,12,K12,D,LgBitN-AR,SmBitN-AR,1
L,12,L12,D,LgBitN-AR,SmBitN-AR,1
M,12,M12,D,LgBitN-AR,SmBitN-AR,10
N,12,N12,D,LgBitN-AR,SmBitN-AR,10
O,12,O12,D,LgBitN-AR,SmBitN-AR,10
P,12,P12,D,LgBitN-AR,SmBitN-AR,10
A,13,A13,G,LgBitN-AR,Src1-SmBitC,
B,13,B13,G,LgBitN-AR,Src1-SmBitC,
C,13,C13,G,LgBitN-AR,Src1-SmBitC,
D,13,D13,G,LgBitN-AR,Src1-SmBitC,
E,13,E13,G,LgBitN-AR,Src1-SmBitC,0.1
F,13,F13,G,LgBitN-AR,Src1-SmBitC,0.1
