Well,Content,Raw Data (No filter),
A01,Sample X1,3161,
A02,Sample X2,3212,
A03,Sample X3,3023,
A04,Sample X4,3052,
A05,Sample X5,2934,
A06,Sample X6,3221,
A07,Sample X7,160836,
A08,Sample X8,171283,
A09,Sample X9,165945,
A10,Sample X10,163677,
A11,Sample X11,176580,
A12,Sample X12,170095,
A13,Sample X13,1741,
A14,Sample X14,1560,
A15,Sample X15,1641,
A16,Sample X16,1620,
A17,Sample X17,1653,
A18,Sample X18,1696,
A19,Sample X19,71055,
A20,Sample X20,72550,
A21,Sample X21,73508,
A22,Sample X22,76581,
A23,Sample X23,74649,
A24,Sample X24,72858,
B01,Sample X25,3542,
B02,Sample X26,3290,
B03,Sample X27,2988,
B04,Sample X28,3176,
B05,Sample X29,3096,
B06,Sample X30,3284,
B07,Sample X31,161544,
B08,Sample X32,156130,
B09,Sample X33,155705,
B10,Sample X34,139124,
B11,Sample X35,155122,
B12,Sample X36,152614,
B13,Sample X37,1897,
B14,Sample X38,1791,
B15,Sample X39,1687,
B16,Sample X40,1786,
B17,Sample X41,1613,
B18,Sample X42,1641,
B19,Sample X43,68293,
B20,Sample X44,67280,
B21,Sample X45,69596,
B22,Sample X46,67985,
B23,Sample X47,65646,
B24,Sample X48,70859,
C01,Sample X49,3565,
C02,Sample X50,3110,
C03,Sample X51,3137,
C04,Sample X52,3332,
C05,Sample X53,2983,
C06,Sample X54,3287,
C07,Sample X55,151912,
C08,Sample X56,146259,
C09,Sample X57,146507,
C10,Sample X58,149045,
C11,Sample X59,145207,
C12,Sample X60,149907,
C13,Sample X61,1841,
C14,Sample X62,1822,
C15,Sample X63,1709,
C16,Sample X64,1725,
C17,Sample X65,1807,
C18,Sample X66,1680,
C19,Sample X67,66688,
C20,Sample X68,64077,
C21,Sample X69,66892,
C22,Sample X70,63315,
C23,Sample X71,61903,
C24,Sample X72,68209,
D01,Sample X73,3150,
D02,Sample X74,3187,
D03,Sample X75,3114,
D04,Sample X76,5413,
D05,Sample X77,5488,
D06,Sample X78,5590,
D07,Sample X79,151058,
D08,Sample X80,132913,
D09,Sample X81,130921,
D10,Sample X82,129910,
D11,Sample X83,134244,
D12,Sample X84,139620,
D13,Sample X85,1924,
D14,Sample X86,1782,
D15,Sample X87,1722,
D16,Sample X88,2236,
D17,Sample X89,2250,
D18,Sample X90,2257,
D19,Sample X91,66771,
D20,Sample X92,57303,
D21,Sample X93,64654,
D22,Sample X94,64012,
D23,Sample X95,57693,
D24,Sample X96,66730,
E01,Sample X97,3045,
E02,Sample X98,3070,
E03,Sample X99,3028,
E04,Sample X100,11600,
E05,Sample X101,11576,
E06,Sample X102,12475,
E07,Sample X103,139226,
E08,Sample X104,124496,
E09,Sample X105,143343,
E10,Sample X106,139484,
E11,Sample X107,121619,
E12,Sample X108,131524,
E13,Sample X109,1761,
E14,Sample X110,1761,
E15,Sample X111,2051,
E16,Sample X112,5521,
E17,Sample X113,4698,
E18,Sample X114,5057,
E19,Sample X115,63282,
E20,Sample X116,47865,
E21,Sample X117,56519,
E22,Sample X118,56913,
E23,Sample X119,48908,
E24,Sample X120,58190,
F01,Sample X121,3092,
F02,Sample X122,3047,
F03,Sample X123,2979,
F04,Sample X124,35352,
F05,Sample X125,32542,
F06,Sample X126,34999,
F07,Sample X127,152763,
F08,Sample X128,101739,
F09,Sample X129,136948,
F10,Sample X130,133635,
F11,Sample X131,98459,
F12,Sample X132,126152,
F13,Sample X133,1580,
F14,Sample X134,1869,
F15,Sample X135,1541,
F16,Sample X136,14120,
F17,Sample X137,13208,
F18,Sample X138,13511,
F19,Sample X139,61997,
F20,Sample X140,35996,
F21,Sample X141,56403,
F22,Sample X142,52154,
F23,Sample X143,38038,
F24,Sample X144,50785,
G01,Sample X145,3153,
G02,Sample X146,3290,
G03,Sample X147,3081,
G04,Sample X148,74877,
G05,Sample X149,71440,
G06,Sample X150,77409,
G07,Sample X151,140206,
G08,Sample X152,67032,
G09,Sample X153,117185,
G10,Sample X154,114320,
G11,Sample X155,69437,
G12,Sample X156,99563,
G13,Sample X157,1724,
G14,Sample X158,1421,
G15,Sample X159,1375,
G16,Sample X160,26957,
G17,Sample X161,28766,
G18,Sample X162,28367,
G19,Sample X163,63056,
G20,Sample X164,26521,
G21,Sample X165,48051,
G22,Sample X166,44462,
G23,Sample X167,26617,
G24,Sample X168,40265,
H01,Sample X169,2713,
H02,Sample X170,2897,
H03,Sample X171,3054,
H04,Sample X172,123657,
H05,Sample X173,117809,
H06,Sample X174,105652,
H07,Sample X175,143882,
H08,Sample X176,46418,
H09,Sample X177,112190,
H10,Sample X178,94116,
H11,Sample X179,43558,
H12,Sample X180,82647,
H13,Sample X181,1408,
H14,Sample X182,1438,
H15,Sample X183,1381,
H16,Sample X184,48441,
H17,Sample X185,45708,
H18,Sample X186,46152,
H19,Sample X187,61691,
H20,Sample X188,18794,
H21,Sample X189,46770,
H22,Sample X190,39298,
H23,Sample X191,16366,
H24,Sample X192,32748,
I01,Sample X193,3158,
I02,Sample X194,3233,
I03,Sample X195,3314,
I04,Sample X196,133725,
I05,Sample X197,134350,
I06,Sample X198,134974,
I07,Sample X199,132229,
I08,Sample X200,31384,
I09,Sample X201,101939,
I10,Sample X202,76168,
I11,Sample X203,25404,
I12,Sample X204,63386,
I13,Sample X205,1231,
I14,Sample X206,1289,
I15,Sample X207,1416,
I16,Sample X208,54871,
I17,Sample X209,50645,
I18,Sample X210,53802,
I19,Sample X211,56500,
I20,Sample X212,11187,
I21,Sample X213,34669,
I22,Sample X214,25013,
I23,Sample X215,10907,
I24,Sample X216,25293,
J01,Sample X217,3545,
J02,Sample X218,3297,
J03,Sample X219,3651,
J04,Sample X220,123771,
J05,Sample X221,119872,
J06,Sample X222,126662,
J07,Sample X223,129243,
