rowi,coli,wells,chnm,final.uM
A,1,A1,DMSO,
B,1,B1,DMSO,
C,1,C1,DMSO,
D,1,D1,Testosterone,0.00010003
E,1,E1,Testosterone,0.000251257
F,1,F1,Testosterone,0.000631109
G,1,G1,Testosterone,0.001585226
H,1,H1,Testosterone,0.003981789
I,1,I1,Testosterone,0.010001501
J,1,J1,Testosterone,0.025121881
K,1,K1,Testosterone,0.063101417
L,1,L1,Testosterone,0.158498836
M,1,M1,Testosterone,0.398119122
N,1,N1,Testosterone,1
O,1,O1,Testosterone,1
P,1,P1,Testosterone,1
A,2,A2,DMSO,
B,2,B2,DMSO,
C,2,C2,DMSO,
D,2,D2,Testosterone,0.00010003
E,2,E2,Testosterone,0.000251257
F,2,F2,Testosterone,0.000631109
G,2,G2,Testosterone,0.001585226
H,2,H2,Testosterone,0.003981789
I,2,I2,Testosterone,0.010001501
J,2,J2,Testosterone,0.025121881
K,2,K2,Testosterone,0.063101417
L,2,L2,Testosterone,0.158498836
M,2,M2,Testosterone,0.398119122
N,2,N2,Testosterone,1
O,2,O2,Testosterone,1
P,2,P2,Testosterone,1
A,3,A3,DMSO,
B,3,B3,DMSO,
C,3,C3,DMSO,
D,3,D3,Testosterone,0.00010003
E,3,E3,Testosterone,0.000251257
F,3,F3,Testosterone,0.000631109
G,3,G3,Testosterone,0.001585226
H,3,H3,Testosterone,0.003981789
I,3,I3,Testosterone,0.010001501
J,3,J3,Testosterone,0.025121881
K,3,K3,Testosterone,0.063101417
L,3,L3,Testosterone,0.158498836
M,3,M3,Testosterone,0.398119122
N,3,N3,Testosterone,1
O,3,O3,Testosterone,1
P,3,P3,Testosterone,1
A,4,A4,DMSO,
B,4,B4,DMSO,
C,4,C4,DMSO,
D,4,D4,R1881,0.00010003
E,4,E4,R1881,0.000251257
F,4,F4,R1881,0.000631109
G,4,G4,R1881,0.001585226
H,4,H4,R1881,0.003981789
I,4,I4,R1881,0.010001501
J,4,J4,R1881,0.025121881
K,4,K4,R1881,0.063101417
L,4,L4,R1881,0.158498836
M,4,M4,R1881,0.398119122
N,4,N4,R1881,1
O,4,O4,R1881,1
P,4,P4,R1881,1
A,5,A5,DMSO,
B,5,B5,DMSO,
C,5,C5,DMSO,
D,5,D5,R1881,0.00010003
E,5,E5,R1881,0.000251257
F,5,F5,R1881,0.000631109
G,5,G5,R1881,0.001585226
H,5,H5,R1881,0.003981789
I,5,I5,R1881,0.010001501
J,5,J5,R1881,0.025121881
K,5,K5,R1881,0.063101417
L,5,L5,R1881,0.158498836
M,5,M5,R1881,0.398119122
N,5,N5,R1881,1
O,5,O5,R1881,1
P,5,P5,R1881,1
A,6,A6,DMSO,
B,6,B6,DMSO,
C,6,C6,DMSO,
D,6,D6,R1881,0.00010003
E,6,E6,R1881,0.000251257
F,6,F6,R1881,0.000631109
G,6,G6,R1881,0.001585226
H,6,H6,R1881,0.003981789
I,6,I6,R1881,0.010001501
J,6,J6,R1881,0.025121881
K,6,K6,R1881,0.063101417
L,6,L6,R1881,0.158498836
M,6,M6,R1881,0.398119122
N,6,N6,R1881,1
O,6,O6,R1881,1
P,6,P6,R1881,1
A,7,A7,DMSO,
B,7,B7,Amitrole,0.010029541
C,7,C7,Amitrole,0.02036455
D,7,D7,Amitrole,0.04134934
E,7,E7,Amitrole,0.083958051
F,7,F7,Amitrole,0.1704732
G,7,G7,Amitrole,0.346138477
H,7,H7,Amitrole,0.702819243
I,7,I7,Amitrole,1.427044148
J,7,J7,Amitrole,2.89755157
K,7,K7,Amitrole,5.883353441
L,7,L7,Amitrole,11.94589531
M,7,M7,Amitrole,24.255625
N,7,N7,Amitrole,49.25
O,7,O7,Amitrole,100
P,7,P7,DMSO,
A,8,A8,DMSO,
B,8,B8,Cyproterone acetate,0.010029541
C,8,C8,Cyproterone acetate,0.02036455
D,8,D8,Cyproterone acetate,0.04134934
E,8,E8,Cyproterone acetate,0.083958051
F,8,F8,Cyproterone acetate,0.1704732
G,8,G8,Cyproterone acetate,0.346138477
H,8,H8,Cyproterone acetate,0.702819243
I,8,I8,Cyproterone acetate,1.427044148
J,8,J8,Cyproterone acetate,2.89755157
K,8,K8,Cyproterone acetate,5.883353441
L,8,L8,Cyproterone acetate,11.94589531
M,8,M8,Cyproterone acetate,24.255625
N,8,N8,Cyproterone acetate,49.25
O,8,O8,Cyproterone acetate,100
P,8,P8,DMSO,
A,9,A9,DMSO,
B,9,B9,Nilutamide,0.010029541
C,9,C9,Nilutamide,0.02036455
D,9,D9,Nilutamide,0.04134934
E,9,E9,Nilutamide,0.083958051
F,9,F9,Nilutamide,0.1704732
G,9,G9,Nilutamide,0.346138477
H,9,H9,Nilutamide,0.702819243
I,9,I9,Nilutamide,1.427044148
J,9,J9,Nilutamide,2.89755157
K,9,K9,Nilutamide,5.883353441
L,9,L9,Nilutamide,11.94589531
M,9,M9,Nilutamide,24.255625
N,9,N9,Nilutamide,49.25
O,9,O9,Nilutamide,100
P,9,P9,DMSO,
A,10,A10,DMSO,
B,10,B10,Spironolactone,0.010029541
C,10,C10,Spironolactone,0.02036455
D,10,D10,Spironolactone,0.04134934
E,10,E10,Spironolactone,0.083958051
F,10,F10,Spironolactone,0.1704732
G,10,G10,Spironolactone,0.346138477
H,10,H10,Spironolactone,0.702819243
I,10,I10,Spironolactone,1.427044148
J,10,J10,Spironolactone,2.89755157
