"spid","win_model","hill_tp","hill_ga","hill_gw","max_med","agonist_ga","hitc"
"17-Methyltestosterone","Gain-Loss",4.04270869995732,-0.19215945015982,0.390856904769629,3.19774669713872,-0.19215945015982,1
"17alpha-Estradiol","Gain-Loss",0.761973395795036,0.930692253421036,3.27316841589472,0.566855714779015,0.930692253421036,1
"17alpha-Ethinylestradiol","Gain-Loss",1.68460419186739,-0.145611617473712,1.60125416129989,1.72384186621998,-0.145611617473712,1
"17beta-Estradiol","Gain-Loss",5.08377860660873,0.411338495642331,0.592124088401291,4.05322892952464,0.411338495642331,1
"17beta-Trenbolone","Hill",6.16488760956475,-1.05185013654571,0.757943676465172,6.19795141928709,-1.05185013654571,1
"2,2',4,4'-Tetrahydroxybenzophenone","Gain-Loss",2.27457024343166,1.07203006676817,3.41835536658874,2.26002800716129,1.07203006676817,1
"2,4-Dihydroxybenzophenone","Constant",0,0,0,0.041757659733586,2.5,0
"2,4-Dinitrophenol","Constant",0,0,0,0.0614943083557819,2.5,0
"2-Ethylhexylparaben","Constant",0,0,0,0.288988421059069,2.5,0
"4,4'-Sulfonyldiphenol",NA,NA,NA,NA,-0.0128579052459315,2.5,0
"4-(1,1,3,3-Tetramethylbutyl)phenol","Constant",0,0,0,0.138459941477258,2.5,0
"4-(2-Methylbutan-2-yl)phenol","Hill",0.469507133844905,1.45285445416023,0.330370357096764,0.357932446368254,2.5,0
"4-Androstene-3,17-dione","Hill",2.75167246559416,0.765008619034805,1.61645329920899,2.78705140741051,0.765008619034805,1
"4-Cumylphenol","Gain-Loss",0.28327636718795,0.720424710825095,1.96998649903682,0.256115997407403,2.5,0
"4-Dodecylphenol","Constant",0,0,0,0.0439654475261839,2.5,0
"4-Hydroxybenzoic acid","Constant",0,0,0,0.0743424624349533,2.5,0
"4-Nonylphenol","Constant",0,0,0,0.00442652035220998,2.5,0
"4-tert-Butylphenol","Hill",0.0919322574579358,1.09009444283964,7.99999980360361,0.149384026497863,2.5,0
"5alpha-Dihydrotestosterone","Gain-Loss",6.2530285077014,-2.79578579944305,0.736631351018213,6.30618457894889,-2.79578579944305,1
"Abamectin",NA,NA,NA,NA,-0.0156498546159274,2.5,0
"Acephate","Constant",0,0,0,0.0482227592529201,2.5,0
"Afimoxifene (4-Hydroxytamoxifen)","Constant",0,0,0,0.0431567137128622,2.5,0
"Amitrole","Constant",0,0,0,0.0749763136315074,2.5,0
"Anastrozole","Constant",0,0,0,0.130705346385593,2.5,0
"Apigenin","Constant",0,0,0,1.15154289696303,2.5,0
"Atrazine",NA,NA,NA,NA,-0.028569152196771,2.5,0
"Benfluralin","Gain-Loss",0.116782476735539,-1.32800250523169,0.860811982755908,0.173819232240132,2.5,0
"Benomyl","Constant",0,0,0,0.0444604212055152,2.5,0
"Bicalutamide","Gain-Loss",2.4467272995648,0.684070340642735,1.59962213494853,2.50100365787754,0.684070340642735,1
"Bifenthrin","Constant",0,0,0,0.112004510571017,2.5,0
"Bis(2-ethylhexyl)hexanedioate","Hill",0.910044320585055,1.81516012004493,2.05138323032158,0.690340402182461,1.81516012004493,1
"Bis(2-ethylhexyl)phthalate","Constant",0,0,0,0.0764011977383353,2.5,0
"Bisphenol A","Gain-Loss",0.265363417365414,1.28100020065234,0.536538813127242,0.119888735507082,2.5,0
"Bisphenol AF","Constant",0,0,0,0.147265174438387,2.5,0
"Bisphenol B","Constant",0,0,0,0.0563236067296156,2.5,0
"Butylbenzylphthalate","Constant",0,0,0,0.0120565592544482,2.5,0
"Butylparaben","Gain-Loss",0.0997535406344921,0.725143281667747,7.999999973869,0.107947005108911,2.5,0
"Carbendazim","Constant",0,0,0,0.0236728289843677,2.5,0
"Carbofuran","Constant",0,0,0,0.102675035150811,2.5,0
"Chlorothalonil","Hill",0.062814373379905,-1.1623784973449,7.99960472442217,0.131644005810471,2.5,0
"Chlorpyrifos",NA,NA,NA,NA,-0.0462327842019958,2.5,0
"Chlorpyrifos-methyl","Constant",0,0,0,0.0927433509510842,2.5,0
"Clomiphene citrate",NA,NA,NA,NA,-0.00815712553453631,2.5,0
"Corticosterone","Hill",2.62536973886534,1.30689459410361,1.67887077911328,2.45536465371948,1.30689459410361,1
