"spid","win_model","hill_tp","hill_ga","hill_gw","max_med"
"17-Methyltestosterone","Gain-Loss",4.04270869995732,-0.19215945015982,0.390856904769629,3.19774669713872
"17alpha-Estradiol","Gain-Loss",0.761973395795036,0.930692253421036,3.27316841589472,0.566855714779015
"17alpha-Ethinylestradiol","Gain-Loss",1.68460419186739,-0.145611617473712,1.60125416129989,1.72384186621998
"17beta-Estradiol","Gain-Loss",5.08377860660873,0.411338495642331,0.592124088401291,4.05322892952464
"17beta-Trenbolone","Hill",6.16488760956475,-1.05185013654571,0.757943676465172,6.19795141928709
"2,2',4,4'-Tetrahydroxybenzophenone","Gain-Loss",2.27457024343166,1.07203006676817,3.41835536658874,2.26002800716129
"2,4-Dihydroxybenzophenone","Constant",0,0,0,0.041757659733586
"2,4-Dinitrophenol","Constant",0,0,0,0.0614943083557819
"2-Ethylhexylparaben","Constant",0,0,0,0.288988421059069
"4,4'-Sulfonyldiphenol",NA,NA,NA,NA,-0.0128579052459315
"4-(1,1,3,3-Tetramethylbutyl)phenol","Constant",0,0,0,0.138459941477258
"4-(2-Methylbutan-2-yl)phenol","Hill",0.469507133844905,1.45285445416023,0.330370357096764,0.357932446368254
"4-Androstene-3,17-dione","Hill",2.75167246559416,0.765008619034805,1.61645329920899,2.78705140741051
"4-Cumylphenol","Gain-Loss",0.28327636718795,0.720424710825095,1.96998649903682,0.256115997407403
"4-Dodecylphenol","Constant",0,0,0,0.0439654475261839
"4-Hydroxybenzoic acid","Constant",0,0,0,0.0743424624349533
"4-Nonylphenol","Constant",0,0,0,0.00442652035220998
"4-tert-Butylphenol","Hill",0.0919322574579358,1.09009444283964,7.99999980360361,0.149384026497863
"5alpha-Dihydrotestosterone","Gain-Loss",6.2530285077014,-2.79578579944305,0.736631351018213,6.30618457894889
"Abamectin",NA,NA,NA,NA,-0.0156498546159274
"Acephate","Constant",0,0,0,0.0482227592529201
"Afimoxifene (4-Hydroxytamoxifen)","Constant",0,0,0,0.0431567137128622
"Amitrole","Constant",0,0,0,0.0749763136315074
"Anastrozole","Constant",0,0,0,0.130705346385593
"Apigenin","Constant",0,0,0,1.15154289696303
"Atrazine",NA,NA,NA,NA,-0.028569152196771
"Benfluralin","Gain-Loss",0.116782476735539,-1.32800250523169,0.860811982755908,0.173819232240132
"Benomyl","Constant",0,0,0,0.0444604212055152
"Bicalutamide","Gain-Loss",2.4467272995648,0.684070340642735,1.59962213494853,2.50100365787754
"Bifenthrin","Constant",0,0,0,0.112004510571017
"Bis(2-ethylhexyl)hexanedioate","Hill",0.910044320585055,1.81516012004493,2.05138323032158,0.690340402182461
"Bis(2-ethylhexyl)phthalate","Constant",0,0,0,0.0764011977383353
"Bisphenol A","Gain-Loss",0.265363417365414,1.28100020065234,0.536538813127242,0.119888735507082
"Bisphenol AF","Constant",0,0,0,0.147265174438387
"Bisphenol B","Constant",0,0,0,0.0563236067296156
"Butylbenzylphthalate","Constant",0,0,0,0.0120565592544482
"Butylparaben","Gain-Loss",0.0997535406344921,0.725143281667747,7.999999973869,0.107947005108911
"Carbendazim","Constant",0,0,0,0.0236728289843677
"Carbofuran","Constant",0,0,0,0.102675035150811
"Chlorothalonil","Hill",0.062814373379905,-1.1623784973449,7.99960472442217,0.131644005810471
"Chlorpyrifos",NA,NA,NA,NA,-0.0462327842019958
"Chlorpyrifos-methyl","Constant",0,0,0,0.0927433509510842
"Clomiphene citrate",NA,NA,NA,NA,-0.00815712553453631
"Corticosterone","Hill",2.62536973886534,1.30689459410361,1.67887077911328,2.45536465371948
"Coumestrol ","Constant",0,0,0,0.0212866523579457
"Cyfluthrin","Constant",0,0,0,0.0634169811730046
"Cypermethrin","Constant",0,0,0,0.0422494853365063
"Cyproterone acetate","Hill",6.12318463647723,-2.74085197587794,0.890447176159763,6.22763581821993
"DCLN",NA,NA,NA,NA,-0.00391186530587555
"Daidzein ","Constant",0,0,0,0.157851074864967
"Danazol","Gain-Loss",5.07722620345173,-2.38467205731508,0.820175726151105,5.187343782437
"Deltamethrin","Constant",0,0,0,0.0322043514912169
"Diazinon","Constant",0,0,0,0.101788008840968
"Dibutyl phthalate","Hill",0.110854823846429,1.69386355029498,0.703846979049734,0.0641201924913823
"Dichlobenil","Hill",0.083575751387305,-0.742881877191247,1.70096542351043,0.160464672193246
"Dichlorodiphenyltrichloroethane","Gain-Loss",0.925919450906048,0.83074501207442,0.890256943160324,0.598468450705503
"Dicyclohexyl phthalate","Constant",0,0,0,0.111391417348686
"Diethyl phthalate","Hill",0.0431099888132063,0.274220052454237,7.99999390501054,0.0934844226002189
"Diethylstilbestrol","Constant",0,0,0,0.137725550842617
"Dihexyl phthalate","Hill",0.277968826364702,2.4695633512801,0.663188737004392,0.138649282788928
"Dipentyl phthalate","Constant",0,0,0,0.0183810471621738
"Enclomiphene hydrochloride","Constant",0,0,0,0.0598083855389515
"Equilin","Hill",3.17523517476757,0.244544448833511,1.40083542372855,3.18065006785041
"Esfenvalerate","Constant",0,0,0,0.107960559400904
"Estrone","Hill",4.25784671550973,0.268737667897827,0.497811627854042,3.75717739912113
"Ethoprop",NA,NA,NA,NA,-0.0175489360090322
"Ethylparaben","Hill",0.0366266398271625,-0.929969907301717,1.24550183074857,0.108791026623751
"Exemestane","Gain-Loss",5.82470526141552,-1.79654243095563,0.748642102275403,6.00995808940952
"Fenarimol","Constant",0,0,0,0.0829036249011646
"Fenitrothion","Gain-Loss",1.80484404756952,1.09176055631185,2.78930671294472,1.83883706573844
"Fenthion","Constant",0,0,0,0.0610170577906285
"Fenvalerate","Constant",0,0,0,0.0363480902400653
"Finasteride","Constant",0,0,0,0.100091189027516
"Flutamide",NA,NA,NA,NA,-0.0109281327500465
"Flutolanil","Constant",0,0,0,0.194246945356925
"Folpet","Constant",0,0,0,0.0640080277935252
"Formestane","Gain-Loss",5.94084589450093,0.10966245189906,0.97244262035143,5.46813902652449
"Fulvestrant","Constant",0,0,0,0.0408607569658658
"Genistein","Constant",0,0,0,0.107975168225398
"Hydroxyflutamide","Hill",5.72264948763226,-0.93182665360105,0.808181437298343,5.83244018746398
"Hydroxyprogesterone caproate","Constant",0,0,0,0.150035772207642
"Iprodione","Constant",0,0,0,0.107875580089532
"Kaempferol","Constant",0,0,0,0.0733939280184805
"Letrozole","Gain-Loss",5.8196397662355,-1.05408997424662,3.27347092681889,6.07413638928048
