Well,Content,Raw Data (530-15/590-20),
A01,Sample X1,122485,
A02,Sample X2,131021,
A03,Sample X3,125708,
A04,Sample X4,158329,
A05,Sample X5,155339,
A06,Sample X6,151241,
A07,Sample X7,121534,
A08,Sample X8,96864,
A09,Sample X9,1189,
A10,Sample X10,2037,
A11,Sample X11,1373,
A12,Sample X12,2188,
A13,Sample X13,68375,
A14,Sample X14,119744,
A15,Sample X15,136950,
A16,Sample X16,142968,
A17,Sample X17,138342,
A18,Sample X18,133755,
A19,Sample X19,128303,
A20,Sample X20,144551,
A21,Sample X21,147544,
A22,Sample X22,159149,
A23,Sample X23,137261,
A24,Sample X24,135104,
B01,Sample X25,138953,
B02,Sample X26,137590,
B03,Sample X27,146050,
B04,Sample X28,137364,
B05,Sample X29,155194,
B06,Sample X30,138872,
B07,Sample X31,147944,
B08,Sample X32,125989,
B09,Sample X33,94247,
B10,Sample X34,101587,
B11,Sample X35,93046,
B12,Sample X36,99427,
B13,Sample X37,129859,
B14,Sample X38,122686,
B15,Sample X39,108513,
B16,Sample X40,111569,
B17,Sample X41,109303,
B18,Sample X42,132171,
B19,Sample X43,135109,
B20,Sample X44,128002,
B21,Sample X45,123393,
B22,Sample X46,146646,
B23,Sample X47,136430,
B24,Sample X48,132718,
C01,Sample X49,141429,
C02,Sample X50,148689,
C03,Sample X51,173823,
C04,Sample X52,150380,
C05,Sample X53,136292,
C06,Sample X54,158221,
C07,Sample X55,125793,
C08,Sample X56,116228,
C09,Sample X57,119576,
C10,Sample X58,127466,
C11,Sample X59,160795,
C12,Sample X60,118987,
C13,Sample X61,116118,
C14,Sample X62,111138,
C15,Sample X63,141094,
C16,Sample X64,112573,
C17,Sample X65,108677,
C18,Sample X66,108708,
C19,Sample X67,135261,
C20,Sample X68,117765,
C21,Sample X69,119126,
C22,Sample X70,133545,
C23,Sample X71,131095,
C24,Sample X72,119112,
D01,Sample X73,145793,
D02,Sample X74,150910,
D03,Sample X75,151438,
D04,Sample X76,135426,
D05,Sample X77,111112,
D06,Sample X78,119498,
D07,Sample X79,120605,
D08,Sample X80,112390,
D09,Sample X81,111753,
D10,Sample X82,126840,
D11,Sample X83,152144,
D12,Sample X84,109744,
D13,Sample X85,104709,
D14,Sample X86,108549,
D15,Sample X87,107061,
D16,Sample X88,126199,
D17,Sample X89,109614,
D18,Sample X90,127976,
D19,Sample X91,143955,
D20,Sample X92,114188,
D21,Sample X93,114244,
D22,Sample X94,127115,
D23,Sample X95,126145,
D24,Sample X96,134590,
E01,Sample X97,141792,
E02,Sample X98,140639,
E03,Sample X99,149065,
E04,Sample X100,128660,
E05,Sample X101,131543,
E06,Sample X102,162918,
E07,Sample X103,131675,
E08,Sample X104,113564,
E09,Sample X105,110720,
E10,Sample X106,116154,
E11,Sample X107,109936,
E12,Sample X108,109365,
E13,Sample X109,103681,
E14,Sample X110,146660,
E15,Sample X111,110927,
E16,Sample X112,109529,
E17,Sample X113,107229,
E18,Sample X114,112939,
E19,Sample X115,112562,
E20,Sample X116,107533,
E21,Sample X117,109448,
E22,Sample X118,109316,
E23,Sample X119,125116,
E24,Sample X120,127517,
F01,Sample X121,149248,
F02,Sample X122,95502,
F03,Sample X123,123798,
F04,Sample X124,124177,
F05,Sample X125,132962,
F06,Sample X126,110723,
F07,Sample X127,114427,
F08,Sample X128,124209,
F09,Sample X129,106825,
F10,Sample X130,105574,
