Source Plate Barcode,Source Well,Destination Plate Barcode,Destination Well,Transfer Volume,chnm,stock.mM
DPID_128,A1,apid_1,C2,40,Bisphenol AF,100
DPID_128,A1,apid_1,C3,20,Bisphenol AF,100
DPID_128,A1,apid_1,C4,10,Bisphenol AF,100
DPID_128,A1,apid_1,C5,5,Bisphenol AF,100
DPID_128,A1,apid_1,C6,2.5,Bisphenol AF,100
DPID_128,A9,apid_1,C7,80,Bisphenol AF,1.729965401
DPID_128,A9,apid_1,C8,32.5,Bisphenol AF,1.729965401
DPID_128,A9,apid_1,C9,10,Bisphenol AF,1.729965401
DPID_128,A9,apid_1,C10,2.5,Bisphenol AF,1.729965401
DPID_128,A17,apid_1,C11,80,Bisphenol AF,0.011049679
DPID_128,A17,apid_1,C12,2.5,Bisphenol AF,0.011049679
DPID_128,B1,apid_1,C13,40,Folpet,50
DPID_128,B1,apid_1,C14,20,Folpet,50
DPID_128,B1,apid_1,C15,10,Folpet,50
DPID_128,B1,apid_1,C16,5,Folpet,50
DPID_128,B1,apid_1,C17,2.5,Folpet,50
DPID_128,B9,apid_1,C18,80,Folpet,0.8649827
DPID_128,B9,apid_1,C19,32.5,Folpet,0.8649827
DPID_128,B9,apid_1,C20,10,Folpet,0.8649827
DPID_128,B9,apid_1,C21,2.5,Folpet,0.8649827
DPID_128,B17,apid_1,C22,80,Folpet,0.00552484
DPID_128,B17,apid_1,C23,2.5,Folpet,0.00552484
DPID_128,C1,apid_1,D2,40,Chlorothalonil,50
DPID_128,C1,apid_1,D3,20,Chlorothalonil,50
DPID_128,C1,apid_1,D4,10,Chlorothalonil,50
DPID_128,C1,apid_1,D5,5,Chlorothalonil,50
DPID_128,C1,apid_1,D6,2.5,Chlorothalonil,50
DPID_128,C9,apid_1,D7,80,Chlorothalonil,0.8649827
DPID_128,C9,apid_1,D8,32.5,Chlorothalonil,0.8649827
DPID_128,C9,apid_1,D9,10,Chlorothalonil,0.8649827
DPID_128,C9,apid_1,D10,2.5,Chlorothalonil,0.8649827
DPID_128,C17,apid_1,D11,80,Chlorothalonil,0.00552484
DPID_128,C17,apid_1,D12,2.5,Chlorothalonil,0.00552484
DPID_128,D1,apid_1,D13,40,Tetramethrin,100
DPID_128,D1,apid_1,D14,20,Tetramethrin,100
DPID_128,D1,apid_1,D15,10,Tetramethrin,100
DPID_128,D1,apid_1,D16,5,Tetramethrin,100
DPID_128,D1,apid_1,D17,2.5,Tetramethrin,100
DPID_128,D9,apid_1,D18,80,Tetramethrin,1.729965401
DPID_128,D9,apid_1,D19,32.5,Tetramethrin,1.729965401
DPID_128,D9,apid_1,D20,10,Tetramethrin,1.729965401
DPID_128,D9,apid_1,D21,2.5,Tetramethrin,1.729965401
DPID_128,D17,apid_1,D22,80,Tetramethrin,0.011049679
DPID_128,D17,apid_1,D23,2.5,Tetramethrin,0.011049679
DPID_128,E1,apid_1,E2,40,Bisphenol A,100
DPID_128,E1,apid_1,E3,20,Bisphenol A,100
DPID_128,E1,apid_1,E4,10,Bisphenol A,100
DPID_128,E1,apid_1,E5,5,Bisphenol A,100
DPID_128,E1,apid_1,E6,2.5,Bisphenol A,100
DPID_128,E9,apid_1,E7,80,Bisphenol A,1.729965401
DPID_128,E9,apid_1,E8,32.5,Bisphenol A,1.729965401
DPID_128,E9,apid_1,E9,10,Bisphenol A,1.729965401
DPID_128,E9,apid_1,E10,2.5,Bisphenol A,1.729965401
DPID_128,E17,apid_1,E11,80,Bisphenol A,0.011049679
DPID_128,E17,apid_1,E12,2.5,Bisphenol A,0.011049679
DPID_128,F1,apid_1,E13,40,Tributylchlorostannane,100
DPID_128,F1,apid_1,E14,20,Tributylchlorostannane,100
DPID_128,F1,apid_1,E15,10,Tributylchlorostannane,100
DPID_128,F1,apid_1,E16,5,Tributylchlorostannane,100
DPID_128,F1,apid_1,E17,2.5,Tributylchlorostannane,100
DPID_128,F9,apid_1,E18,80,Tributylchlorostannane,1.729965401
DPID_128,F9,apid_1,E19,32.5,Tributylchlorostannane,1.729965401
DPID_128,F9,apid_1,E20,10,Tributylchlorostannane,1.729965401
DPID_128,F9,apid_1,E21,2.5,Tributylchlorostannane,1.729965401
DPID_128,F17,apid_1,E22,80,Tributylchlorostannane,0.011049679
DPID_128,F17,apid_1,E23,2.5,Tributylchlorostannane,0.011049679
DPID_128,G1,apid_1,F2,40,Zearalenone,100
DPID_128,G1,apid_1,F3,20,Zearalenone,100
DPID_128,G1,apid_1,F4,10,Zearalenone,100
DPID_128,G1,apid_1,F5,5,Zearalenone,100
DPID_128,G1,apid_1,F6,2.5,Zearalenone,100
DPID_128,G9,apid_1,F7,80,Zearalenone,1.729965401
DPID_128,G9,apid_1,F8,32.5,Zearalenone,1.729965401
DPID_128,G9,apid_1,F9,10,Zearalenone,1.729965401
DPID_128,G9,apid_1,F10,2.5,Zearalenone,1.729965401
DPID_128,G17,apid_1,F11,80,Zearalenone,0.011049679
DPID_128,G17,apid_1,F12,2.5,Zearalenone,0.011049679
DPID_128,H1,apid_1,F13,40,Abamectin,100
DPID_128,H1,apid_1,F14,20,Abamectin,100
DPID_128,H1,apid_1,F15,10,Abamectin,100
DPID_128,H1,apid_1,F16,5,Abamectin,100
DPID_128,H1,apid_1,F17,2.5,Abamectin,100
DPID_128,H9,apid_1,F18,80,Abamectin,1.729965401
DPID_128,H9,apid_1,F19,32.5,Abamectin,1.729965401
DPID_128,H9,apid_1,F20,10,Abamectin,1.729965401
DPID_128,H9,apid_1,F21,2.5,Abamectin,1.729965401
DPID_128,H17,apid_1,F22,80,Abamectin,0.011049679
DPID_128,H17,apid_1,F23,2.5,Abamectin,0.011049679
DPID_128,I1,apid_1,G2,40,Bisphenol B,100
DPID_128,I1,apid_1,G3,20,Bisphenol B,100
DPID_128,I1,apid_1,G4,10,Bisphenol B,100
DPID_128,I1,apid_1,G5,5,Bisphenol B,100
DPID_128,I1,apid_1,G6,2.5,Bisphenol B,100
DPID_128,I9,apid_1,G7,80,Bisphenol B,1.729965401
DPID_128,I9,apid_1,G8,32.5,Bisphenol B,1.729965401
DPID_128,I9,apid_1,G9,10,Bisphenol B,1.729965401
DPID_128,I9,apid_1,G10,2.5,Bisphenol B,1.729965401
DPID_128,I17,apid_1,G11,80,Bisphenol B,0.011049679
DPID_128,I17,apid_1,G12,2.5,Bisphenol B,0.011049679
DPID_128,J1,apid_1,G13,40,Dibutyl phthalate,100
DPID_128,J1,apid_1,G14,20,Dibutyl phthalate,100
DPID_128,J1,apid_1,G15,10,Dibutyl phthalate,100
DPID_128,J1,apid_1,G16,5,Dibutyl phthalate,100
DPID_128,J1,apid_1,G17,2.5,Dibutyl phthalate,100
DPID_128,J9,apid_1,G18,80,Dibutyl phthalate,1.729965401
DPID_128,J9,apid_1,G19,32.5,Dibutyl phthalate,1.729965401
DPID_128,J9,apid_1,G20,10,Dibutyl phthalate,1.729965401
DPID_128,J9,apid_1,G21,2.5,Dibutyl phthalate,1.729965401
DPID_128,J17,apid_1,G22,80,Dibutyl phthalate,0.011049679
DPID_128,J17,apid_1,G23,2.5,Dibutyl phthalate,0.011049679
DPID_128,K1,apid_1,H2,40,Bis(2-ethylhexyl)phthalate,100
DPID_128,K1,apid_1,H3,20,Bis(2-ethylhexyl)phthalate,100
DPID_128,K1,apid_1,H4,10,Bis(2-ethylhexyl)phthalate,100
DPID_128,K1,apid_1,H5,5,Bis(2-ethylhexyl)phthalate,100
DPID_128,K1,apid_1,H6,2.5,Bis(2-ethylhexyl)phthalate,100
DPID_128,K9,apid_1,H7,80,Bis(2-ethylhexyl)phthalate,1.729965401
DPID_128,K9,apid_1,H8,32.5,Bis(2-ethylhexyl)phthalate,1.729965401
DPID_128,K9,apid_1,H9,10,Bis(2-ethylhexyl)phthalate,1.729965401
DPID_128,K9,apid_1,H10,2.5,Bis(2-ethylhexyl)phthalate,1.729965401
DPID_128,K17,apid_1,H11,80,Bis(2-ethylhexyl)phthalate,0.011049679
DPID_128,K17,apid_1,H12,2.5,Bis(2-ethylhexyl)phthalate,0.011049679
DPID_128,L1,apid_1,H13,40,Diethyl phthalate,100
DPID_128,L1,apid_1,H14,20,Diethyl phthalate,100
DPID_128,L1,apid_1,H15,10,Diethyl phthalate,100
DPID_128,L1,apid_1,H16,5,Diethyl phthalate,100
DPID_128,L1,apid_1,H17,2.5,Diethyl phthalate,100
DPID_128,L9,apid_1,H18,80,Diethyl phthalate,1.729965401
DPID_128,L9,apid_1,H19,32.5,Diethyl phthalate,1.729965401
DPID_128,L9,apid_1,H20,10,Diethyl phthalate,1.729965401
DPID_128,L9,apid_1,H21,2.5,Diethyl phthalate,1.729965401
DPID_128,L17,apid_1,H22,80,Diethyl phthalate,0.011049679
DPID_128,L17,apid_1,H23,2.5,Diethyl phthalate,0.011049679
DPID_128,M1,apid_1,I2,40,"2,2',4,4'-Tetrahydroxybenzophenone",100
DPID_128,M1,apid_1,I3,20,"2,2',4,4'-Tetrahydroxybenzophenone",100
DPID_128,M1,apid_1,I4,10,"2,2',4,4'-Tetrahydroxybenzophenone",100
DPID_128,M1,apid_1,I5,5,"2,2',4,4'-Tetrahydroxybenzophenone",100
DPID_128,M1,apid_1,I6,2.5,"2,2',4,4'-Tetrahydroxybenzophenone",100
DPID_128,M9,apid_1,I7,80,"2,2',4,4'-Tetrahydroxybenzophenone",1.729965401
DPID_128,M9,apid_1,I8,32.5,"2,2',4,4'-Tetrahydroxybenzophenone",1.729965401
DPID_128,M9,apid_1,I9,10,"2,2',4,4'-Tetrahydroxybenzophenone",1.729965401
DPID_128,M9,apid_1,I10,2.5,"2,2',4,4'-Tetrahydroxybenzophenone",1.729965401
DPID_128,M17,apid_1,I11,80,"2,2',4,4'-Tetrahydroxybenzophenone",0.011049679
DPID_128,M17,apid_1,I12,2.5,"2,2',4,4'-Tetrahydroxybenzophenone",0.011049679
DPID_128,N1,apid_1,I13,40,4-Nonylphenol,100
DPID_128,N1,apid_1,I14,20,4-Nonylphenol,100
DPID_128,N1,apid_1,I15,10,4-Nonylphenol,100
DPID_128,N1,apid_1,I16,5,4-Nonylphenol,100
DPID_128,N1,apid_1,I17,2.5,4-Nonylphenol,100
DPID_128,N9,apid_1,I18,80,4-Nonylphenol,1.729965401
DPID_128,N9,apid_1,I19,32.5,4-Nonylphenol,1.729965401
DPID_128,N9,apid_1,I20,10,4-Nonylphenol,1.729965401
DPID_128,N9,apid_1,I21,2.5,4-Nonylphenol,1.729965401
DPID_128,N17,apid_1,I22,80,4-Nonylphenol,0.011049679
DPID_128,N17,apid_1,I23,2.5,4-Nonylphenol,0.011049679
DPID_128,O1,apid_1,J2,40,"2,4-Dinitrophenol",100
DPID_128,O1,apid_1,J3,20,"2,4-Dinitrophenol",100
DPID_128,O1,apid_1,J4,10,"2,4-Dinitrophenol",100
DPID_128,O1,apid_1,J5,5,"2,4-Dinitrophenol",100
DPID_128,O1,apid_1,J6,2.5,"2,4-Dinitrophenol",100
DPID_128,O9,apid_1,J7,80,"2,4-Dinitrophenol",1.729965401
DPID_128,O9,apid_1,J8,32.5,"2,4-Dinitrophenol",1.729965401
DPID_128,O9,apid_1,J9,10,"2,4-Dinitrophenol",1.729965401
DPID_128,O9,apid_1,J10,2.5,"2,4-Dinitrophenol",1.729965401
DPID_128,O17,apid_1,J11,80,"2,4-Dinitrophenol",0.011049679
DPID_128,O17,apid_1,J12,2.5,"2,4-Dinitrophenol",0.011049679
DPID_128,P1,apid_1,J13,40,Flutamide,100
DPID_128,P1,apid_1,J14,20,Flutamide,100
DPID_128,P1,apid_1,J15,10,Flutamide,100
DPID_128,P1,apid_1,J16,5,Flutamide,100
DPID_128,P1,apid_1,J17,2.5,Flutamide,100
DPID_128,P9,apid_1,J18,80,Flutamide,1.729965401
DPID_128,P9,apid_1,J19,32.5,Flutamide,1.729965401
DPID_128,P9,apid_1,J20,10,Flutamide,1.729965401
DPID_128,P9,apid_1,J21,2.5,Flutamide,1.729965401
DPID_128,P17,apid_1,J22,80,Flutamide,0.011049679
DPID_128,P17,apid_1,J23,2.5,Flutamide,0.011049679
DPID_128,A2,apid_1,K2,40,Tamoxifen,50
DPID_128,A2,apid_1,K3,20,Tamoxifen,50
DPID_128,A2,apid_1,K4,10,Tamoxifen,50
DPID_128,A2,apid_1,K5,5,Tamoxifen,50
DPID_128,A2,apid_1,K6,2.5,Tamoxifen,50
DPID_128,A10,apid_1,K7,80,Tamoxifen,0.8649827
DPID_128,A10,apid_1,K8,32.5,Tamoxifen,0.8649827
DPID_128,A10,apid_1,K9,10,Tamoxifen,0.8649827
DPID_128,A10,apid_1,K10,2.5,Tamoxifen,0.8649827
DPID_128,A18,apid_1,K11,80,Tamoxifen,0.00552484
DPID_128,A18,apid_1,K12,2.5,Tamoxifen,0.00552484
DPID_128,B2,apid_1,K13,40,Amitrole,100
DPID_128,B2,apid_1,K14,20,Amitrole,100
DPID_128,B2,apid_1,K15,10,Amitrole,100
DPID_128,B2,apid_1,K16,5,Amitrole,100
DPID_128,B2,apid_1,K17,2.5,Amitrole,100
DPID_128,B10,apid_1,K18,80,Amitrole,1.729965401
DPID_128,B10,apid_1,K19,32.5,Amitrole,1.729965401
DPID_128,B10,apid_1,K20,10,Amitrole,1.729965401
DPID_128,B10,apid_1,K21,2.5,Amitrole,1.729965401
DPID_128,B18,apid_1,K22,80,Amitrole,0.011049679
DPID_128,B18,apid_1,K23,2.5,Amitrole,0.011049679
DPID_128,C2,apid_1,L2,40,Chlorpyrifos,100
DPID_128,C2,apid_1,L3,20,Chlorpyrifos,100
DPID_128,C2,apid_1,L4,10,Chlorpyrifos,100
DPID_128,C2,apid_1,L5,5,Chlorpyrifos,100
DPID_128,C2,apid_1,L6,2.5,Chlorpyrifos,100
DPID_128,C10,apid_1,L7,80,Chlorpyrifos,1.729965401
DPID_128,C10,apid_1,L8,32.5,Chlorpyrifos,1.729965401
DPID_128,C10,apid_1,L9,10,Chlorpyrifos,1.729965401
DPID_128,C10,apid_1,L10,2.5,Chlorpyrifos,1.729965401
DPID_128,C18,apid_1,L11,80,Chlorpyrifos,0.011049679
DPID_128,C18,apid_1,L12,2.5,Chlorpyrifos,0.011049679
DPID_128,D2,apid_1,L13,40,Ethylparaben,100
DPID_128,D2,apid_1,L14,20,Ethylparaben,100
DPID_128,D2,apid_1,L15,10,Ethylparaben,100
DPID_128,D2,apid_1,L16,5,Ethylparaben,100
DPID_128,D2,apid_1,L17,2.5,Ethylparaben,100
DPID_128,D10,apid_1,L18,80,Ethylparaben,1.729965401
DPID_128,D10,apid_1,L19,32.5,Ethylparaben,1.729965401
DPID_128,D10,apid_1,L20,10,Ethylparaben,1.729965401
DPID_128,D10,apid_1,L21,2.5,Ethylparaben,1.729965401
DPID_128,D18,apid_1,L22,80,Ethylparaben,0.011049679
DPID_128,D18,apid_1,L23,2.5,Ethylparaben,0.011049679
DPID_128,E2,apid_1,M2,40,Propargite,100
DPID_128,E2,apid_1,M3,20,Propargite,100
DPID_128,E2,apid_1,M4,10,Propargite,100
DPID_128,E2,apid_1,M5,5,Propargite,100
DPID_128,E2,apid_1,M6,2.5,Propargite,100
DPID_128,E10,apid_1,M7,80,Propargite,1.729965401
DPID_128,E10,apid_1,M8,32.5,Propargite,1.729965401
DPID_128,E10,apid_1,M9,10,Propargite,1.729965401
DPID_128,E10,apid_1,M10,2.5,Propargite,1.729965401
DPID_128,E18,apid_1,M11,80,Propargite,0.011049679
DPID_128,E18,apid_1,M12,2.5,Propargite,0.011049679
DPID_128,F2,apid_1,M13,40,17beta-Estradiol,100
