"chmn","OT16.hitc","OT16.ga","AR2.hitc","AR2.ga","use.class"
"Carbofuran",0,2.5,0,2.5,"pesticide"
"Chlorpyrifos-methyl",0,2.5,0,2.5,"pesticide"
"Metolachlor",0,2.5,0,2.5,"pesticide"
"Norflurazon",0,2.5,0,2.5,"pesticide"
"Cypermethrin",0,2.5,1,1.41930519266114,"pesticide"
"Metribuzin",0,2.5,0,2.5,"pesticide"
"Methomyl",0,2.5,0,2.5,"pesticide"
"Fenthion",0,2.5,1,1.16658594648698,"pesticide"
"Propargite",1,0.298067708870302,1,0.458768603747351,"pesticide"
"Folpet",1,1.76064897176619,0,2.5,"pesticide"
"Triadimefon",0,2.5,1,1.62977565859087,"pesticide"
"Fenitrothion",1,1.85268923938945,1,0.2764800302165,"pesticide"
"Trifluralin",0,2.5,0,2.5,"pesticide"
"Ethoprop",0,2.5,0,2.5,"pesticide"
"Abamectin",1,1.01173501753114,1,0.869132098883414,"pesticide"
"Oxamyl",0,2.5,0,2.5,"pesticide"
"Simazine",0,2.5,0,2.5,"pesticide"
"Tetramethrin",1,1.96955593821491,0,2.5,"pesticide"
"Propyzamide",0,2.5,1,1.7194541264842,"pesticide"
"Prochloraz",1,1.69677267441621,1,-0.619922257906079,"pesticide"
"Malathion",1,1.61252884356164,1,1.57047870599142,"pesticide"
"Benomyl",1,0.499939744456907,0,2.5,"pesticide"
"Dihexyl phthalate",0,2.5,0,2.5,"industrial"
"Pentachlorophenol",0,2.5,0,2.5,"industrial"
"Flutamide",1,1.77559504948467,1,0.897843680775093,"drug (anti-androgen)"
"Acephate",0,2.5,0,2.5,"pesticide"
"Octamethylcyclotetrasiloxane",0,2.5,0,2.5,"industrial"
"4-(2-Methylbutan-2-yl)phenol",1,1.71456218652618,1,1.69919639186937,"industrial"
"Octylbicycloheptenedicarboximide",1,1.58814334598679,1,1.47844614012644,"pesticide"
"Fenarimol",1,1.55227335240974,1,1.32212938932508,"pesticide"
"2,4-Dinitrophenol",0,2.5,1,1.73780699730611,"pesticide"
"Tebuconazole",1,1.87314286108276,1,1.49984524000847,"pesticide"
"Pentachloronitrobenzene",0,2.5,0,2.5,"pesticide"
"Permethrin",0,2.5,1,1.6092302191372,"pesticide"
"Carbendazim",1,0.627077872929378,0,2.5,"pesticide"
"Diethyl phthalate",0,2.5,0,2.5,"industrial"
"Phosmet",0,2.5,0,2.5,"pesticide"
"Flutolanil",0,2.5,1,1.64904936191674,"pesticide"
"Propiconazole",1,1.54892684789402,1,1.57808927913567,"pesticide"
"Benfluralin",1,1.65674771149388,1,1.8019298112046,"pesticide"
"Bis(2-ethylhexyl)hexanedioate",0,2.5,1,1.81516012004493,"industrial"
"Dipentyl phthalate",0,2.5,1,1.45784280464346,"industrial"
"Chlorothalonil",1,0.376468945987189,0,2.5,"pesticide"
"Esfenvalerate",0,2.5,1,1.02791661018293,"pesticide"
"p,p'-DDD",1,1.69624788151919,1,1.08592489838962,"pesticide"
"Metalaxyl",0,2.5,0,2.5,"pesticide"
"Cyfluthrin",0,2.5,1,1.27220142534837,"pesticide"
"Diazinon",0,2.5,1,1.59554459329957,"pesticide"
"Bifenthrin",1,1.48431343722543,1,1.12844591910986,"pesticide"
"Chlorpyrifos",1,1.92977533134263,1,1.83776239451418,"pesticide"
