"X","m0id","m1id","m2id","m3id","spid","aeid","logc","resp","cndx","wllt","apid","rowi","coli","repi","chmn"
261151,121914951,159973296,159508057,207544208,"TP0000758B11",740,1.47712125471966,21.0727969348659,5,"t","ASC0071005",2,6,1,"Vinclozolin"
261152,121914965,159973312,159508073,207544224,"TP0000758B11",740,-0.522878745280338,-0.510855683269477,1,"t","ASC0071005",2,20,3,"Vinclozolin"
261159,121917477,159973424,159508185,207544336,"TP0000758C06",740,0.477121254719662,-7.13450292397661,3,"t","ASC0071002",5,12,1,"4-Cumylphenol"
261163,121918589,159973488,159508249,207544400,"TP0000758C09",740,1.47712125471966,104.049640757675,5,"t","ASC0071004",4,8,3,"Norethindrone"
261164,121918618,159973504,159508265,207544416,"TP0000758C09",740,-0.522878745280338,82.4067558057706,1,"t","ASC0071489",9,19,5,"Norethindrone"
261167,121920093,159973552,159508313,207544464,"TP0000758C12",740,-0.522878745280338,1.6602809706258,1,"t","ASC0071005",5,18,1,"Diethylstilbestrol"
261173,121921930,159973648,159508409,207544560,"TP0000758D05",740,-0.698970004336019,10.2923976608187,1,"t","ASC0071002",6,19,2,"Hydroxyflutamide"
261174,121921942,159973664,159508425,207544576,"TP0000758D05",740,0.301029995663981,16.256157635468,3,"t","ASC0071489",15,13,5,"Hydroxyflutamide"
261190,121926905,159973920,159508681,207544832,"TP0000758E05",740,1.47712125471966,4.32748538011696,5,"t","ASC0071002",8,8,3,"Phenothrin"
261191,121927276,159973936,159508697,207544848,"TP0000758E06",740,-0.522878745280338,0.233918128654971,1,"t","ASC0071002",9,19,2,"Finasteride"
261200,121930084,159974080,159508841,207544992,"TP0000758E12",740,-0.522878745280338,-4.85312899106003,1,"t","ASC0071005",9,19,2,"Linuron"
261230,121939659,159974560,159509321,207545472,"TP0000758G12",740,-0.522878745280338,-0.255427841634738,1,"t","ASC0071005",13,18,1,"Atrazine"
261237,121941850,159974672,159509433,207545584,"TP0000758H06",740,0.301029995663981,-1.16959064327485,3,"t","ASC0071002",15,13,2,"Fulvestrant"
261238,121941862,159974688,159509449,207545600,"TP0000758H06",740,1.30102999566398,6.1388410786001,5,"t","ASC0071484",14,7,5,"Fulvestrant"
261243,121943723,159974768,159509529,207545680,"TP0000758H10",740,0.477121254719662,109.666884389288,3,"t","ASC0071004",15,14,3,"Levonorgestrel"
261244,121943735,159974784,159509545,207545696,"TP0000758H10",740,1.47712125471966,106.420097697139,5,"t","ASC0071490",3,8,6,"Levonorgestrel"
261265,121951060,159975120,159509881,207546032,"TP0000759C04",740,1.47712125471966,71.0544452101999,5,"t","ASC0071007",5,7,2,"Testosterone propionate"
261266,121951089,159975136,159509897,207546048,"TP0000759C04",740,-0.522878745280338,94.2857142857143,1,"t","ASC0071486",10,18,4,"Testosterone propionate"
