"chnm","spid","win_model","hill_tp","hill_ga","hill_gw","max_med","hitc"
"17-Methyltestosterone","CYP1A2","Hill",95.7103090842014,-0.797988446580163,1.25274636522318,103.470455341718,1
"17-Methyltestosterone","Bgal","Hill",97.3462451937355,-0.87297937226568,1.31619865521618,103.132122560399,1
"17-Methyltestosterone","No_RNA","Hill",96.4166563841018,-0.918919738573707,0.94580913641616,103.523031648692,1
"17-Methyltestosterone","CYP2A6","Hill",96.9502076723786,-0.840667805636464,1.16923319008032,102.765751406426,1
"17-Methyltestosterone","CYP2B6","Hill",91.4792136146229,-0.904338210840959,1.34608106490781,94.3955914455188,1
"17-Methyltestosterone","CYP2C8","Hill",92.8966521277423,-0.876466033945784,1.3219232601722,96.155090516037,1
"17-Methyltestosterone","CYP2C9","Hill",92.7190545134498,-1.05881110587987,0.877541337686572,93.3565425128701,1
"17-Methyltestosterone","CYP2C19","Hill",90.8945158893735,-1.15938869044347,1.23835703639506,93.9290090214063,1
"17-Methyltestosterone","CYP2D6","Hill",92.7738921747091,-1.05215817687468,1.0940822806263,93.8386858684508,1
"17-Methyltestosterone","CYP2E1","Hill",91.6964390677782,-0.851033050860331,1.36033647273427,92.6902882833795,1
"17-Methyltestosterone","CYP2J2","Hill",92.2573473482748,-0.975226963169115,1.10190712134288,93.4550271370234,1
"17-Methyltestosterone","CYP3A4","Hill",91.6247161142409,-0.891086843577365,1.41197781257727,92.5743971451396,1
"17alpha-Estradiol","CYP1A2","Hill",102.337824188929,0.29894071293941,1.65306455041329,102.310176751261,1
"17alpha-Estradiol","Bgal","Hill",101.275397485122,0.135406627997884,1.40142921916724,101.783629922389,1
"17alpha-Estradiol","No_RNA","Hill",102.618371124372,0.265951911923852,1.34487350698614,102.36656274878,1
"17alpha-Estradiol","CYP2A6","Hill",102.747574683967,0.174458767312903,1.26007594154396,102.276462872331,1
"17alpha-Estradiol","CYP2B6","Hill",100.687632569723,0.304361679849553,1.55518941376108,100.962061947582,1
"17alpha-Estradiol","CYP2C8","Hill",100.341152498669,0.273169678985998,1.57381989979001,101.526798665841,1
"17alpha-Estradiol","CYP2C9","Hill",101.783977484573,0.36287308960214,1.5165404744656,101.179252803316,1
"17alpha-Estradiol","CYP2C19","Hill",102.383497574536,0.567357147190974,1.68925561911901,101.182662301819,1
"17alpha-Estradiol","CYP2D6","Hill",102.41663777456,0.264426099976538,1.47047107935439,102.876290139247,1
"17alpha-Estradiol","CYP2E1","Hill",102.701786780036,0.232210891151285,1.35677487872117,102.428384039893,1
"17alpha-Estradiol","CYP2J2","Hill",102.185444091276,0.258733923484885,1.46947838438861,102.36745741124,1
"17alpha-Estradiol","CYP3A4","Hill",103.003968901924,0.253730038454879,1.35085081776407,102.398248957488,1
"17alpha-Ethinylestradiol","CYP1A2","Hill",106.690200115017,-0.373722702705049,0.859530108898735,105.211745560513,1
"17alpha-Ethinylestradiol","Bgal","Hill",104.992533828494,-0.363492634286374,0.955604273240375,104.32702100789,1
"17alpha-Ethinylestradiol","No_RNA","Hill",105.238167104281,-0.277041942938845,0.930087710236829,104.665699051563,1
"17alpha-Ethinylestradiol","CYP2A6","Hill",104.555249155243,-0.436031503180285,0.937901196319642,104.570299930992,1
"17alpha-Ethinylestradiol","CYP2B6","Hill",103.139845633708,-0.284541869260767,1.10699993121517,103.932556963994,1
"17alpha-Ethinylestradiol","CYP2C8","Hill",104.004758836,-0.228343832314558,1.07073951761006,103.955063987492,1
"17alpha-Ethinylestradiol","CYP2C9","Hill",104.632733996961,0.332973620139474,1.34652256842244,102.927644026881,1
"17alpha-Ethinylestradiol","CYP2C19","Hill",103.84721269073,-0.138457310976041,1.10577021942526,103.816880063892,1
"17alpha-Ethinylestradiol","CYP2D6","Hill",104.696656098404,-0.271070991127344,1.04257636724729,104.717379487369,1
"17alpha-Ethinylestradiol","CYP2E1","Hill",105.123703070523,-0.333347029407864,0.945542911761791,104.75319549493,1
"17alpha-Ethinylestradiol","CYP2J2","Hill",104.561526217248,-0.317548587825572,0.940788669626888,104.098815655394,1
"17alpha-Ethinylestradiol","CYP3A4","Hill",105.466714370849,-0.302218922654217,0.879457337596542,103.836727597356,1
"17beta-Estradiol","CYP1A2","Hill",82.977530495483,0.0735361620690575,1.55851723013609,88.3844428386475,1
"17beta-Estradiol","Bgal","Hill",82.9482682027117,-0.27835525236355,1.08032902857691,86.0547739648827,1
"17beta-Estradiol","No_RNA","Hill",88.9011796376634,-0.0955163548060189,1.05822287616964,90.7996147322555,1
"17beta-Estradiol","CYP2A6","Hill",82.7789141241519,-0.239355383602721,1.13735841696374,88.2400619736899,1
"17beta-Estradiol","CYP2B6","Hill",82.4740392932678,-0.0806110849573698,1.32376247507943,86.6350092023745,1
"17beta-Estradiol","CYP2C8","Hill",83.3439346314979,-0.0610090819872846,1.41811586026251,88.4969509614828,1
"17beta-Estradiol","CYP2C9","Hill",91.514367860705,0.113556757481679,0.930020661464496,91.9791218111829,1
"17beta-Estradiol","CYP2C19","Hill",87.9359749959149,0.237113004244238,1.21541280346229,91.417129192099,1
"17beta-Estradiol","CYP2D6","Hill",87.6832193412476,-0.0939034422528738,1.17637766468692,90.425603766849,1
"17beta-Estradiol","CYP2E1","Hill",90.1343615884095,-0.0725016617064606,0.948505242060486,91.8309261561931,1
"17beta-Estradiol","CYP2J2","Hill",88.3330425692369,-0.0651449548085105,1.09284014847085,89.9661949994112,1
"17beta-Estradiol","CYP3A4","Hill",95.2686147762034,0.0514510028950552,0.916374966393362,94.5554958901244,1
"17beta-Trenbolone","CYP1A2","Constant",0,0,0,6.89935123772245,0
"17beta-Trenbolone","Bgal","Constant",0,0,0,16.8399988031899,0
"17beta-Trenbolone","No_RNA","Gain-Loss",29.6709549611851,-0.379363232024394,0.814913665640552,24.3267419525458,0
"17beta-Trenbolone","CYP2A6","Constant",0,0,0,10.3583386462762,0
"17beta-Trenbolone","CYP2B6","Constant",0,0,0,21.4080887098132,0
"17beta-Trenbolone","CYP2C8","Gain-Loss",23.918698466203,-0.236016204203438,7.25206844729475,16.1418996986021,0
"17beta-Trenbolone","CYP2C9","Gain-Loss",39.977714367462,0.0391788414679381,3.87857892379687,27.6581939827513,0
"17beta-Trenbolone","CYP2C19","Hill",16.0324550501188,-1.00253168647591,5.01704815562793,20.2943270200249,0
"17beta-Trenbolone","CYP2D6","Hill",19.115048413099,-1.41935867270723,1.4545075859535,22.7998095607554,0
"17beta-Trenbolone","CYP2E1","Hill",15.8488655556042,-0.333483112641809,7.9999958306001,21.7264481564898,0
"17beta-Trenbolone","CYP2J2","Gain-Loss",29.3948233463192,-0.0678892579876934,2.44339710280092,23.0095630925511,0
"17beta-Trenbolone","CYP3A4","Hill",13.992399834203,-1.50239857947222,0.814327999912689,20.8947892239152,0
"2,2',4,4'-Tetrahydroxybenzophenone","CYP1A2","Hill",87.9681175696226,0.888044085058542,2.20283410588871,96.3700207749977,1
"2,2',4,4'-Tetrahydroxybenzophenone","Bgal","Hill",102.019131262217,0.997987842231084,1.0840987347474,95.5395578429908,1
"2,2',4,4'-Tetrahydroxybenzophenone","No_RNA","Hill",101.881708296206,1.0244419526777,1.11546457557161,96.4471040891121,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2A6","Hill",90.2174293684011,0.943220207455063,1.81019285933678,95.634094955005,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2B6","Hill",94.558531284721,0.946751595444381,1.48369441802727,95.9993727001848,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2C8","Hill",96.9867159469252,0.866860794240385,1.56308118746587,97.3133689575493,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2C9","Hill",93.6217136619312,1.01616382623503,1.49757609902514,93.5532113766858,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2C19","Hill",93.3285988315464,1.07541054015228,1.41610859359596,92.8886091881687,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2D6","Hill",104.426976372835,1.05113137473626,1.07326454585388,97.9351800928204,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2E1","Hill",94.5430579429361,0.973307312057243,1.42179782830335,95.6390094538478,1
"2,2',4,4'-Tetrahydroxybenzophenone","CYP2J2","Hill",86.0471810022606,0.913853067642633,1.92472266485252,94.562601355236,1
