Source Plate Barcode,Source Well,Destination Well,Transfer Volume,cpid,chnm,stock.mM
DPID_128,A1,C2,45,1,Bisphenol AF,100
DPID_128,A1,C3,25,1,Bisphenol AF,100
DPID_128,A1,C4,12.5,1,Bisphenol AF,100
DPID_128,A1,C5,5,1,Bisphenol AF,100
DPID_128,A1,C6,2.5,1,Bisphenol AF,100
DPID_128,A9,C7,90,1,Bisphenol AF,1.729965401
DPID_128,A9,C8,35,1,Bisphenol AF,1.729965401
DPID_128,A9,C9,12.5,1,Bisphenol AF,1.729965401
DPID_128,A9,C10,2.5,1,Bisphenol AF,1.729965401
DPID_128,A17,C11,90,1,Bisphenol AF,0.011049679
DPID_128,A17,C12,2.5,1,Bisphenol AF,0.011049679
DPID_128,B1,C13,45,1,Folpet,50
DPID_128,B1,C14,25,1,Folpet,50
DPID_128,B1,C15,12.5,1,Folpet,50
DPID_128,B1,C16,5,1,Folpet,50
DPID_128,B1,C17,2.5,1,Folpet,50
DPID_128,B9,C18,90,1,Folpet,0.8649827
DPID_128,B9,C19,35,1,Folpet,0.8649827
DPID_128,B9,C20,12.5,1,Folpet,0.8649827
DPID_128,B9,C21,2.5,1,Folpet,0.8649827
DPID_128,B17,C22,90,1,Folpet,0.00552484
DPID_128,B17,C23,2.5,1,Folpet,0.00552484
DPID_128,C1,D2,45,1,Chlorothalonil,50
DPID_128,C1,D3,25,1,Chlorothalonil,50
DPID_128,C1,D4,12.5,1,Chlorothalonil,50
DPID_128,C1,D5,5,1,Chlorothalonil,50
DPID_128,C1,D6,2.5,1,Chlorothalonil,50
DPID_128,C9,D7,90,1,Chlorothalonil,0.8649827
DPID_128,C9,D8,35,1,Chlorothalonil,0.8649827
DPID_128,C9,D9,12.5,1,Chlorothalonil,0.8649827
DPID_128,C9,D10,2.5,1,Chlorothalonil,0.8649827
DPID_128,C17,D11,90,1,Chlorothalonil,0.00552484
DPID_128,C17,D12,2.5,1,Chlorothalonil,0.00552484
DPID_128,D1,D13,45,1,Tetramethrin,100
DPID_128,D1,D14,25,1,Tetramethrin,100
DPID_128,D1,D15,12.5,1,Tetramethrin,100
DPID_128,D1,D16,5,1,Tetramethrin,100
DPID_128,D1,D17,2.5,1,Tetramethrin,100
DPID_128,D9,D18,90,1,Tetramethrin,1.729965401
DPID_128,D9,D19,35,1,Tetramethrin,1.729965401
DPID_128,D9,D20,12.5,1,Tetramethrin,1.729965401
DPID_128,D9,D21,2.5,1,Tetramethrin,1.729965401
DPID_128,D17,D22,90,1,Tetramethrin,0.011049679
DPID_128,D17,D23,2.5,1,Tetramethrin,0.011049679
DPID_128,E1,E2,45,1,Bisphenol A,100
DPID_128,E1,E3,25,1,Bisphenol A,100
DPID_128,E1,E4,12.5,1,Bisphenol A,100
DPID_128,E1,E5,5,1,Bisphenol A,100
DPID_128,E1,E6,2.5,1,Bisphenol A,100
DPID_128,E9,E7,90,1,Bisphenol A,1.729965401
DPID_128,E9,E8,35,1,Bisphenol A,1.729965401
DPID_128,E9,E9,12.5,1,Bisphenol A,1.729965401
DPID_128,E9,E10,2.5,1,Bisphenol A,1.729965401
DPID_128,E17,E11,90,1,Bisphenol A,0.011049679
DPID_128,E17,E12,2.5,1,Bisphenol A,0.011049679
DPID_128,F1,E13,45,1,Tributylchlorostannane,100
DPID_128,F1,E14,25,1,Tributylchlorostannane,100
DPID_128,F1,E15,12.5,1,Tributylchlorostannane,100
DPID_128,F1,E16,5,1,Tributylchlorostannane,100
DPID_128,F1,E17,2.5,1,Tributylchlorostannane,100
DPID_128,F9,E18,90,1,Tributylchlorostannane,1.729965401
DPID_128,F9,E19,35,1,Tributylchlorostannane,1.729965401
DPID_128,F9,E20,12.5,1,Tributylchlorostannane,1.729965401
DPID_128,F9,E21,2.5,1,Tributylchlorostannane,1.729965401
