Well Row,Well Col,Content, Raw Data (530-15/590-20),
A,1,Sample X1,151284,
A,2,Sample X2,148107,
A,3,Sample X3,154093,
A,4,Sample X4,151595,
A,5,Sample X5,157245,
A,6,Sample X6,152499,
A,7,Sample X7,147121,
A,8,Sample X8,143864,
A,9,Sample X9,2299,
A,10,Sample X10,2260,
A,11,Sample X11,2269,
A,12,Sample X12,2203,
A,13,Sample X13,3007,
A,14,Sample X14,8206,
A,15,Sample X15,50600,
A,16,Sample X16,101080,
A,17,Sample X17,130477,
A,18,Sample X18,136131,
A,19,Sample X19,143716,
A,20,Sample X20,147615,
A,21,Sample X21,148015,
A,22,Sample X22,145002,
A,23,Sample X23,145734,
A,24,Sample X24,144416,
B,1,Sample X25,146020,
B,2,Sample X26,152630,
B,3,Sample X27,147479,
B,4,Sample X28,151398,
B,5,Sample X29,156792,
B,6,Sample X30,150952,
B,7,Sample X31,148926,
B,8,Sample X32,145915,
B,9,Sample X33,145395,
B,10,Sample X34,141749,
B,11,Sample X35,141575,
B,12,Sample X36,142499,
B,13,Sample X37,142364,
B,14,Sample X38,142517,
B,15,Sample X39,138471,
B,16,Sample X40,140041,
B,17,Sample X41,140742,
B,18,Sample X42,141634,
B,19,Sample X43,139844,
B,20,Sample X44,143719,
B,21,Sample X45,139960,
B,22,Sample X46,139449,
B,23,Sample X47,140282,
B,24,Sample X48,149067,
C,1,Sample X49,150805,
C,2,Sample X50,158363,
C,3,Sample X51,155221,
C,4,Sample X52,147844,
C,5,Sample X53,148330,
C,6,Sample X54,153765,
C,7,Sample X55,153173,
C,8,Sample X56,149046,
C,9,Sample X57,144198,
C,10,Sample X58,143309,
C,11,Sample X59,150651,
C,12,Sample X60,140179,
C,13,Sample X61,137911,
C,14,Sample X62,142410,
C,15,Sample X63,137391,
C,16,Sample X64,147220,
C,17,Sample X65,134760,
C,18,Sample X66,142240,
C,19,Sample X67,145667,
C,20,Sample X68,137280,
C,21,Sample X69,142964,
C,22,Sample X70,144497,
C,23,Sample X71,139982,
C,24,Sample X72,146516,
D,1,Sample X73,152731,
D,2,Sample X74,125624,
D,3,Sample X75,126360,
D,4,Sample X76,132646,
D,5,Sample X77,146514,
D,6,Sample X78,148670,
D,7,Sample X79,150043,
D,8,Sample X80,148419,
D,9,Sample X81,139238,
D,10,Sample X82,149445,
D,11,Sample X83,147262,
D,12,Sample X84,146797,
D,13,Sample X85,84832,
D,14,Sample X86,87384,
D,15,Sample X87,109280,
D,16,Sample X88,129897,
D,17,Sample X89,138366,
D,18,Sample X90,139205,
D,19,Sample X91,140003,
D,20,Sample X92,137660,
D,21,Sample X93,139726,
D,22,Sample X94,140216,
D,23,Sample X95,144002,
D,24,Sample X96,146553,
E,1,Sample X97,150661,
E,2,Sample X98,51718,
E,3,Sample X99,121849,
E,4,Sample X100,143532,
E,5,Sample X101,147152,
E,6,Sample X102,146715,
E,7,Sample X103,143957,
E,8,Sample X104,144589,
E,9,Sample X105,145584,
E,10,Sample X106,146590,
E,11,Sample X107,148680,
E,12,Sample X108,146965,
E,13,Sample X109,2949,
E,14,Sample X110,2959,
E,15,Sample X111,3582,
E,16,Sample X112,107438,
E,17,Sample X113,124780,
E,18,Sample X114,138530,
E,19,Sample X115,143792,
E,20,Sample X116,142597,
E,21,Sample X117,144047,
E,22,Sample X118,140405,
E,23,Sample X119,146286,
E,24,Sample X120,145954,
F,1,Sample X121,153586,
F,2,Sample X122,145918,
F,3,Sample X123,145916,
F,4,Sample X124,150460,
F,5,Sample X125,149512,
F,6,Sample X126,146169,
F,7,Sample X127,148737,
F,8,Sample X128,144917,
F,9,Sample X129,146269,
F,10,Sample X130,143506,
F,11,Sample X131,143660,
F,12,Sample X132,143542,
F,13,Sample X133,145492,
F,14,Sample X134,143712,
F,15,Sample X135,138572,
F,16,Sample X136,131736,
F,17,Sample X137,130788,
F,18,Sample X138,132701,
F,19,Sample X139,137621,
F,20,Sample X140,135235,
F,21,Sample X141,136424,
F,22,Sample X142,136769,
F,23,Sample X143,145990,
F,24,Sample X144,146320,
G,1,Sample X145,151226,
G,2,Sample X146,2868,
G,3,Sample X147,2910,
G,4,Sample X148,134162,
G,5,Sample X149,153354,
G,6,Sample X150,147597,
G,7,Sample X151,145692,
G,8,Sample X152,144696,
G,9,Sample X153,145962,
G,10,Sample X154,141434,
G,11,Sample X155,143584,
G,12,Sample X156,139479,
G,13,Sample X157,133355,
G,14,Sample X158,139245,
G,15,Sample X159,135145,
G,16,Sample X160,134901,
G,17,Sample X161,122775,
G,18,Sample X162,126176,
G,19,Sample X163,108291,
G,20,Sample X164,134701,
G,21,Sample X165,140307,
G,22,Sample X166,150063,
G,23,Sample X167,141726,
G,24,Sample X168,144584,
H,1,Sample X169,153618,
H,2,Sample X170,105153,
H,3,Sample X171,121200,
H,4,Sample X172,128705,
H,5,Sample X173,142675,
H,6,Sample X174,146275,
H,7,Sample X175,147871,
H,8,Sample X176,144659,
H,9,Sample X177,140152,
H,10,Sample X178,146218,
H,11,Sample X179,143389,
H,12,Sample X180,131819,
H,13,Sample X181,142238,
H,14,Sample X182,136265,
H,15,Sample X183,136091,
H,16,Sample X184,132012,
H,17,Sample X185,127641,
H,18,Sample X186,133594,
H,19,Sample X187,131480,
H,20,Sample X188,128617,
H,21,Sample X189,137283,
H,22,Sample X190,141467,
H,23,Sample X191,142296,
H,24,Sample X192,145698,
I,1,Sample X193,150323,
I,2,Sample X194,139334,
I,3,Sample X195,142536,
I,4,Sample X196,135013,
I,5,Sample X197,148413,
I,6,Sample X198,149329,
I,7,Sample X199,145790,
I,8,Sample X200,146308,
I,9,Sample X201,133738,
I,10,Sample X202,138362,
I,11,Sample X203,126558,
I,12,Sample X204,128821,
I,13,Sample X205,105477,
I,14,Sample X206,116781,
I,15,Sample X207,125074,
I,16,Sample X208,135262,
I,17,Sample X209,132663,
I,18,Sample X210,129914,
I,19,Sample X211,125293,
I,20,Sample X212,128126,
I,21,Sample X213,142256,
I,22,Sample X214,149570,
I,23,Sample X215,150676,
I,24,Sample X216,149685,
J,1,Sample X217,88798,
J,2,Sample X218,143690,
J,3,Sample X219,143230,
J,4,Sample X220,144464,
J,5,Sample X221,146426,
J,6,Sample X222,138747,
J,7,Sample X223,139170,
J,8,Sample X224,144352,
J,9,Sample X225,136842,
J,10,Sample X226,143282,
J,11,Sample X227,133355,
J,12,Sample X228,142072,
J,13,Sample X229,126241,
J,14,Sample X230,130736,
J,15,Sample X231,130529,
J,16,Sample X232,127218,
J,17,Sample X233,130294,
J,18,Sample X234,124890,
J,19,Sample X235,106476,
J,20,Sample X236,132214,
J,21,Sample X237,142885,
J,22,Sample X238,145343,
J,23,Sample X239,143589,
J,24,Sample X240,153561,
K,1,Sample X241,147606,
K,2,Sample X242,128127,
K,3,Sample X243,133926,
K,4,Sample X244,142938,
K,5,Sample X245,141372,
K,6,Sample X246,145836,
K,7,Sample X247,138902,
K,8,Sample X248,139137,
K,9,Sample X249,138460,
K,10,Sample X250,145537,
K,11,Sample X251,147671,
K,12,Sample X252,140451,
K,13,Sample X253,2650,
K,14,Sample X254,10061,
K,15,Sample X255,92333,
K,16,Sample X256,117692,
K,17,Sample X257,122450,
K,18,Sample X258,119540,
K,19,Sample X259,127598,
K,20,Sample X260,133957,
K,21,Sample X261,141240,
K,22,Sample X262,144246,
K,23,Sample X263,147326,
K,24,Sample X264,149655,
L,1,Sample X265,153170,
L,2,Sample X266,145950,
L,3,Sample X267,149372,
L,4,Sample X268,147451,
L,5,Sample X269,145161,
L,6,Sample X270,146938,
L,7,Sample X271,146714,
L,8,Sample X272,147088,
L,9,Sample X273,143148,
L,10,Sample X274,134367,
L,11,Sample X275,137270,
L,12,Sample X276,141022,
L,13,Sample X277,133176,
L,14,Sample X278,135634,
L,15,Sample X279,135136,
L,16,Sample X280,126130,
L,17,Sample X281,114298,
L,18,Sample X282,130400,
L,19,Sample X283,131451,
L,20,Sample X284,119292,
L,21,Sample X285,145311,
L,22,Sample X286,146523,
L,23,Sample X287,146328,
L,24,Sample X288,148386,
M,1,Sample X289,149279,
M,2,Sample X290,143350,
M,3,Sample X291,142541,
M,4,Sample X292,139255,
