Well Row,Well Col,Content,Raw Data (No filter),
A,1,Sample X1,2193,
A,2,Sample X2,1962,
A,3,Sample X3,2077,
A,4,Sample X4,2225,
A,5,Sample X5,2287,
A,6,Sample X6,2367,
A,7,Sample X7,2583,
A,8,Sample X8,3000,
A,9,Sample X9,190,
A,10,Sample X10,182,
A,11,Sample X11,190,
A,12,Sample X12,206,
A,13,Sample X13,381,
A,14,Sample X14,1206,
A,15,Sample X15,2266,
A,16,Sample X16,3382,
A,17,Sample X17,3867,
A,18,Sample X18,4486,
A,19,Sample X19,4669,
A,20,Sample X20,4479,
A,21,Sample X21,4400,
A,22,Sample X22,4743,
A,23,Sample X23,5039,
A,24,Sample X24,5024,
B,1,Sample X25,4378,
B,2,Sample X26,4794,
B,3,Sample X27,5429,
B,4,Sample X28,4094,
B,5,Sample X29,4228,
B,6,Sample X30,4446,
B,7,Sample X31,5036,
B,8,Sample X32,4315,
B,9,Sample X33,344127,
B,10,Sample X34,319116,
B,11,Sample X35,351852,
B,12,Sample X36,355384,
B,13,Sample X37,355322,
B,14,Sample X38,373442,
B,15,Sample X39,371226,
B,16,Sample X40,285294,
B,17,Sample X41,235241,
B,18,Sample X42,197153,
B,19,Sample X43,149235,
B,20,Sample X44,76874,
B,21,Sample X45,43950,
B,22,Sample X46,23818,
B,23,Sample X47,10722,
B,24,Sample X48,4629,
C,1,Sample X49,4414,
C,2,Sample X50,1413,
C,3,Sample X51,2204,
C,4,Sample X52,3625,
C,5,Sample X53,4993,
C,6,Sample X54,3975,
C,7,Sample X55,4423,
C,8,Sample X56,4125,
C,9,Sample X57,4665,
C,10,Sample X58,4131,
C,11,Sample X59,4336,
C,12,Sample X60,5413,
C,13,Sample X61,3268,
C,14,Sample X62,4036,
C,15,Sample X63,4658,
C,16,Sample X64,4809,
C,17,Sample X65,4261,
C,18,Sample X66,4586,
C,19,Sample X67,4565,
C,20,Sample X68,4788,
C,21,Sample X69,4351,
C,22,Sample X70,4540,
C,23,Sample X71,4857,
C,24,Sample X72,4986,
D,1,Sample X73,4386,
D,2,Sample X74,1417,
D,3,Sample X75,1411,
D,4,Sample X76,1556,
D,5,Sample X77,3027,
D,6,Sample X78,4384,
D,7,Sample X79,5053,
D,8,Sample X80,5670,
D,9,Sample X81,5658,
D,10,Sample X82,5575,
D,11,Sample X83,5009,
D,12,Sample X84,4823,
D,13,Sample X85,106555,
D,14,Sample X86,171465,
D,15,Sample X87,214883,
D,16,Sample X88,212776,
D,17,Sample X89,204326,
D,18,Sample X90,185426,
D,19,Sample X91,155724,
D,20,Sample X92,120727,
D,21,Sample X93,82908,
D,22,Sample X94,54725,
D,23,Sample X95,5817,
D,24,Sample X96,5098,
E,1,Sample X97,5078,
E,2,Sample X98,1407,
E,3,Sample X99,1722,
E,4,Sample X100,2421,
E,5,Sample X101,3476,
E,6,Sample X102,4291,
E,7,Sample X103,3743,
E,8,Sample X104,4500,
E,9,Sample X105,4433,
E,10,Sample X106,4587,
E,11,Sample X107,4981,
E,12,Sample X108,5228,
E,13,Sample X109,685,
E,14,Sample X110,817,
E,15,Sample X111,999,
E,16,Sample X112,1210,
E,17,Sample X113,2649,
E,18,Sample X114,3589,
E,19,Sample X115,3688,
E,20,Sample X116,3918,
E,21,Sample X117,4457,
E,22,Sample X118,4310,
E,23,Sample X119,4841,
E,24,Sample X120,4939,
F,1,Sample X121,4858,
F,2,Sample X122,1463,
F,3,Sample X123,1284,
F,4,Sample X124,2189,
F,5,Sample X125,4645,
F,6,Sample X126,4741,
F,7,Sample X127,4212,
F,8,Sample X128,4455,
F,9,Sample X129,4997,
F,10,Sample X130,5126,
F,11,Sample X131,4244,
F,12,Sample X132,4197,
F,13,Sample X133,2397,
F,14,Sample X134,5070,
F,15,Sample X135,12864,
F,16,Sample X136,13250,
F,17,Sample X137,10794,
F,18,Sample X138,7786,
F,19,Sample X139,6052,
F,20,Sample X140,4700,
F,21,Sample X141,4129,
F,22,Sample X142,4045,
F,23,Sample X143,4264,
F,24,Sample X144,5440,
G,1,Sample X145,4339,
G,2,Sample X146,3820,
G,3,Sample X147,4255,
G,4,Sample X148,4197,
G,5,Sample X149,4285,
G,6,Sample X150,4414,
G,7,Sample X151,4309,
G,8,Sample X152,4397,
G,9,Sample X153,4573,
G,10,Sample X154,4424,
G,11,Sample X155,4348,
G,12,Sample X156,5060,
G,13,Sample X157,1086,
G,14,Sample X158,1222,
G,15,Sample X159,2159,
G,16,Sample X160,3722,
G,17,Sample X161,4108,
G,18,Sample X162,3639,
G,19,Sample X163,4491,
G,20,Sample X164,4339,
G,21,Sample X165,4381,
G,22,Sample X166,4379,
G,23,Sample X167,4735,
G,24,Sample X168,4964,
H,1,Sample X169,4424,
H,2,Sample X170,265538,
H,3,Sample X171,284208,
H,4,Sample X172,251438,
H,5,Sample X173,278467,
H,6,Sample X174,292169,
H,7,Sample X175,285077,
H,8,Sample X176,266614,
H,9,Sample X177,206780,
H,10,Sample X178,208130,
H,11,Sample X179,136048,
H,12,Sample X180,11913,
H,13,Sample X181,2601,
H,14,Sample X182,3121,
H,15,Sample X183,4012,
H,16,Sample X184,3746,
H,17,Sample X185,3899,
H,18,Sample X186,4118,
H,19,Sample X187,4543,
H,20,Sample X188,3994,
H,21,Sample X189,5455,
H,22,Sample X190,4505,
H,23,Sample X191,4359,
H,24,Sample X192,5117,
I,1,Sample X193,4243,
I,2,Sample X194,4205,
I,3,Sample X195,4856,
I,4,Sample X196,4195,
I,5,Sample X197,5272,
I,6,Sample X198,4481,
I,7,Sample X199,4882,
I,8,Sample X200,5206,
I,9,Sample X201,4847,
I,10,Sample X202,4640,
I,11,Sample X203,4528,
I,12,Sample X204,4004,
I,13,Sample X205,665,
I,14,Sample X206,736,
I,15,Sample X207,821,
I,16,Sample X208,1692,
I,17,Sample X209,3158,
I,18,Sample X210,3598,
I,19,Sample X211,4189,
I,20,Sample X212,3749,
I,21,Sample X213,5363,
I,22,Sample X214,4756,
I,23,Sample X215,4661,
I,24,Sample X216,4881,
J,1,Sample X217,4891,
J,2,Sample X218,1967,
J,3,Sample X219,2164,
J,4,Sample X220,2882,
J,5,Sample X221,3779,
J,6,Sample X222,4642,
J,7,Sample X223,4023,
J,8,Sample X224,5022,
J,9,Sample X225,4525,
J,10,Sample X226,4437,
J,11,Sample X227,4540,
J,12,Sample X228,4159,
J,13,Sample X229,6347,
J,14,Sample X230,4539,
J,15,Sample X231,4599,
