mode,cohort,replicate,Date Time Point,Source Plate Name,Source Plate Barcode,Source Plate Type,Source Well,Destination Plate Name,Destination Plate Barcode,Destination Plate Type,Destination Well,Destination Well X Offset,Destination Well Y Offset,Sample ID,Sample Name,Transfer Volume,Actual Volume,Current Fluid Volume,Fluid Composition,Fluid Units,Fluid Type,Transfer Status
agonist,1,2,36:08.3,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,36:09.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O5,0,0,,,5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,36:09.7,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,36:10.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O3,0,0,,,25,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,36:10.6,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O2,0,0,,,45,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,43:03.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,43:04.1,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O5,0,0,,,5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,43:04.6,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,43:05.1,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O3,0,0,,,25,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,43:05.5,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O2,0,0,,,45,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,49:54.5,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,49:55.4,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O5,0,0,,,5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,49:55.9,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,49:56.4,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O3,0,0,,,25,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,49:56.8,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O2,0,0,,,45,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,56:43.1,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[19],CYP2A6_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,56:44.0,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[19],CYP2A6_4,Greiner_384PS_781096,O5,0,0,,,5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,56:44.5,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[19],CYP2A6_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,56:45.0,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[19],CYP2A6_4,Greiner_384PS_781096,O3,0,0,,,25,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,2,56:45.4,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[19],CYP2A6_4,Greiner_384PS_781096,O2,0,0,,,45,0,60.853,99.08,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,56:54.0,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,56:55.0,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O5,0,0,,,5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,56:55.5,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,56:56.0,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O3,0,0,,,25,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,56:56.4,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[4],No_RNA_4,Greiner_384PS_781096,O2,0,0,,,45,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:42.3,Source Plate[1],DPID_128,384PP_DMSO2,J6,Destination Plate[9],Bgal_4,Greiner_384PS_781096,H16,0,0,,,5,0,61.637,95.708,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:50.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:51.1,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O5,0,0,,,5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:51.6,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O4,0,0,,,12.5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:52.1,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O3,0,0,,,25,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,03:52.5,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[9],Bgal_4,Greiner_384PS_781096,O2,0,0,,,45,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,10:41.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O6,0,0,,,2.5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
agonist,1,3,10:42.2,Source Plate[1],DPID_128,384PP_DMSO2,G7,Destination Plate[14],CYP1A2_4,Greiner_384PS_781096,O5,0,0,,,5,0,61.221,98.196,Percent,DMSO,MM0203001: DFA didn't converge.
